segment,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,portfolio_wmape,actual_total,forecast_total,bias_pct,pct_below_50,pct_below_70,pct_below_100
cold_start,40,40,1,10,21,97.97219774522105,90.43516861624767,775.0,470.78888198467223,-39.25304748584875,2.5,25.0,52.5
developing,26,24,3,12,16,69.4586607567144,84.69096954516658,635.0,442.50500151501194,-30.3141729897619,12.5,50.0,66.66666666666667
new,39,39,2,16,31,74.19354838709677,79.61899618935516,1174.0,619.4869600796869,-47.23279726748834,5.128205128205129,41.02564102564103,79.48717948717949
occasional,116,103,2,4,22,152.74583441870553,145.87039870974704,677.0,530.0650394534456,-21.703834644985882,1.941747572815534,3.883495145631068,21.359223300970875
rare,56,33,0,4,11,110.62330307206464,146.60865468550492,162.0,123.63548717277504,-23.681798041496886,0.0,12.121212121212121,33.333333333333336
recurring,360,358,51,151,271,74.9858379280115,78.95378529734235,5500.0,3462.064279430575,-37.05337673762591,14.245810055865922,42.17877094972067,75.69832402234637
