sku_id,candidate_source,candidate_model_key,candidate_model,mean_rolling_3m_wmape_percent,horizon_wmape_percent,actual_total,forecast_total,absolute_error,bias,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,selection_score
84510M80T11000,06_intermittent_tournament,hurdle_random_forest,Hurdle Random Forest,68.5921800511448,94.4374389641266,110.0,55.357924143833,103.88118286053924,-54.64207585616701,23,35,35,68.5921800511448
3512052S10000,06_intermittent_tournament,recent_mean_6,Recent Mean 6m,71.13167898278193,65.46355272469923,471.0,318.0,308.33333333333337,-153.0,133,162,144,71.13167898278193
7171152S005PK,06_intermittent_tournament,sba_croston_tuned,SBA Croston Tuned,73.92945562016214,73.88679509286739,321.0,177.2442304125897,237.17661224810436,-143.7557695874103,124,162,72,73.92945562016214
7755078K000PG,06_intermittent_tournament,sba_croston_tuned,SBA Croston Tuned,77.16681444121743,73.6314379938612,179.0,205.14723916177505,131.80027400901156,26.14723916177501,118,162,108,77.16681444121743
82110M55T10000,06_intermittent_tournament,recent_mean_6,Recent Mean 6m,78.22721702317291,76.93522906793048,211.0,66.00000000000001,162.33333333333331,-145.0,112,90,0,78.22721702317291
83940M55T010PG,06_intermittent_tournament,boosted_sba_hybrid,Boosted SBA Hybrid,79.86783927359514,78.72758658933803,616.0,200.0959908312925,484.9619333903223,-415.9040091687075,132,144,108,79.86783927359514
3658354P01000,06_intermittent_tournament,tsb,TSB,81.11355667158898,74.9603787914632,210.0,256.82762419221393,157.4167954620727,46.827624192214,111,162,162,81.11355667158898
68002M74L31000,06_intermittent_tournament,sba_croston,SBA Croston,81.37167460752025,79.54877949588942,213.0,97.93483322057912,169.43890032624446,-115.06516677942088,115,162,0,81.37167460752025
35910M74L01000,06_intermittent_tournament,sba_croston,SBA Croston,81.50850854105656,87.50353282766643,171.0,119.272655399774,149.6310411353096,-51.72734460022602,94,162,0,81.50850854105656
71750M55T30C48,06_intermittent_tournament,recent_mean_6,Recent Mean 6m,82.0194202742904,79.9184505606524,327.0,111.00000000000004,261.33333333333337,-216.0,122,108,54,82.0194202742904
43250M79G6027N,06_intermittent_tournament,sba_croston,SBA Croston,82.08995945824005,84.59961471076485,149.0,115.32862296306806,126.05342591903964,-33.67137703693195,93,162,0,82.08995945824005
17760M67P00000,06_intermittent_tournament,seasonal_sba_croston,Seasonal SBA Croston,83.06157266730968,73.9166746226807,132.0,177.05015275870468,97.57001050193853,45.050152758704655,108,162,60,83.06157266730968
7781163J200PG,06_intermittent_tournament,seasonal_sba_croston,Seasonal SBA Croston,83.15418172254284,77.61032980332627,202.0,225.43849995226788,156.77286620271906,23.43849995226789,106,162,156,83.15418172254284
3552686R20000,06_intermittent_tournament,tsb,TSB,83.39930989957396,78.08103006401281,191.0,153.7683133689211,149.13476742226447,-37.23168663107889,107,162,54,83.39930989957396
95310M75T00000,06_intermittent_tournament,hurdle_random_forest,Hurdle Random Forest,83.6007564978447,96.90223499615374,95.0,27.342403929452946,92.05712324634604,-67.65759607054706,10,18,18,83.6007564978447
83821M74L01000,06_intermittent_tournament,seasonal_sba_croston,Seasonal SBA Croston,83.73607819809092,70.30596366113983,171.0,159.42004959730303,120.2231978605491,-11.57995040269699,113,162,81,83.73607819809092
71736M74T00000,06_intermittent_tournament,hurdle_random_forest,Hurdle Random Forest,84.08118261845023,76.2701282073392,77.0,83.8331814164881,58.727998719651175,6.833181416488105,42,51,51,84.08118261845023
84901M62S51BHE,06_intermittent_tournament,sba_croston,SBA Croston,84.51018587999775,81.48426085145175,207.0,113.4842431625444,168.6724199625051,-93.5157568374556,109,162,0,84.51018587999775
57300M74T00000,06_intermittent_tournament,hurdle_random_forest,Hurdle Random Forest,84.91020468744225,88.29329791725519,99.0,112.10979265411666,87.41036493808264,13.10979265411666,42,69,64,84.91020468744225
8458065J02000,06_intermittent_tournament,sba_croston,SBA Croston,85.8731383020737,78.83429040850496,161.0,80.62952915501856,126.92320755769296,-80.37047084498144,110,162,0,85.8731383020737
6800153R00000,06_intermittent_tournament,sba_croston,SBA Croston,86.00316439660799,81.70619053449384,219.0,89.80136839922787,178.93655727054153,-129.19863160077213,116,162,0,86.00316439660799
17878M74L00000,06_intermittent_tournament,sba_croston,SBA Croston,86.0367604528325,97.25824204317736,129.0,105.99212404051576,125.4631322356988,-23.00787595948424,78,162,0,86.0367604528325
3570186R00000,06_intermittent_tournament,tsb,TSB,86.06824636484093,71.02023918599943,217.0,213.5600564039541,154.11391903361874,-3.439943596045957,122,162,162,86.06824636484093
35321M60M10000,06_intermittent_tournament,sba_croston,SBA Croston,86.36347573897731,85.14635395611107,208.0,64.83243341730574,177.10441622871102,-143.1675665826943,120,162,0,86.36347573897731
3845071L10000,06_intermittent_tournament,sba_croston_tuned,SBA Croston Tuned,86.45002157679993,81.83599263666046,217.0,271.241235372823,177.58410402155323,54.241235372823006,120,162,126,86.45002157679993
71761M55T105PK,06_intermittent_tournament,tsb,TSB,86.63433546413296,82.0902856765618,335.0,152.71877555932275,275.002457016482,-182.28122444067725,119,126,72,86.63433546413296
72311M68P01000,06_intermittent_tournament,sba_croston,SBA Croston,86.93652284767506,82.850258743156,226.0,87.41632603452655,187.24158475953251,-138.58367396547345,116,162,0,86.93652284767506
36410M67K10000,06_intermittent_tournament,sba_croston,SBA Croston,87.09162214232212,86.17128480315789,241.0,111.07899193300504,207.6727963756105,-129.92100806699497,105,162,0,87.09162214232212
4321068LA0ZA8,06_intermittent_tournament,sba_croston,SBA Croston,87.24794616940827,82.17861712408916,201.0,106.43093375311682,165.1790204194192,-94.56906624688318,108,162,0,87.24794616940827
89969M52R00000,06_intermittent_tournament,sba_croston,SBA Croston,87.28891081638217,81.05072222817273,232.0,105.22030119400964,188.03767556936072,-126.77969880599034,115,162,0,87.28891081638217
