sku_id,candidate_source,candidate_model,mean_rolling_3m_wmape_percent,recommended_model,recommended_mean_rolling_3m_wmape_percent,delta_champion_minus_06
72311M68P01000,08_tuned_capped_regression,Random Forest log1p leaf2 sqrt,57.61270102043284,SBA Croston,86.93652284767506,-29.323821827242227
7231282K00000,08_tuned_capped_regression,Hurdle Random Forest threshold 0.25,100.0,Recent Mean 6m,108.1081081081081,-8.108108108108098
72312M79M00000,06_intermittent_tournament,Hurdle Random Forest,99.7623262219754,Hurdle Random Forest,99.7623262219754,0.0
72320M80T00000,08_tuned_capped_regression,Hurdle XGBoost threshold 0.10,84.27227368573587,Aggregate Allocation,100.0,-15.727726314264132
72321M76T00000,06_intermittent_tournament,TSB,97.1885543550082,TSB,97.1885543550082,0.0
72321M79G00000,06_intermittent_tournament,SBA Croston,113.13503302051204,SBA Croston,113.13503302051204,0.0
7232353R00000,08_tuned_capped_regression,Extra Trees log1p leaf5 half features,100.36026383929503,SBA Croston,101.80311381160118,-1.4428499723061492
72330M74L005PK,08_tuned_capped_regression,Random Forest log1p leaf2 sqrt,101.46165905953818,SBA Croston,116.16307275244084,-14.701413692902662
72333M76M005PK,06_intermittent_tournament,SBA Croston,105.46282634234154,SBA Croston,105.46282634234154,0.0
72361M79M00000,08_tuned_capped_regression,Hurdle Random Forest threshold 0.25,100.0,SBA Croston,100.40312421264802,-0.40312421264802367
72372M74L105PK,06_intermittent_tournament,SBA Croston,97.28298006557776,SBA Croston,97.28298006557776,0.0
72381M80T10000,08_tuned_capped_regression,Random Forest log1p leaf8 sqrt,81.8866376580093,Aggregate Allocation,100.0,-18.113362341990694
7239071L00000,06_intermittent_tournament,SBA Croston,117.79455252581953,SBA Croston,117.79455252581953,0.0
72390M76T00000,08_tuned_capped_regression,Random Forest log1p leaf2 sqrt,53.95221825746057,SBA Croston,99.47968588357,-45.52746762610943
7243179M00000,08_tuned_capped_regression,Random Forest log1p leaf2 sqrt,60.774939274880275,SBA Croston,92.1644789175989,-31.389539642718624
72432M74T00000,07_clean_regression,Direct XGBoost Tweedie,82.50058229620969,TSB,88.50820647916666,-6.007624182956974
7246073R00000,06_intermittent_tournament,SBA Croston,111.09887151255695,SBA Croston,111.09887151255695,0.0
7246079P00000,06_intermittent_tournament,SBA Croston,99.76452371704468,SBA Croston,99.76452371704468,0.0
72460M60M00000,08_tuned_capped_regression,Random Forest log1p leaf2 sqrt,63.838076551555694,SBA Croston,101.11222409766737,-37.27414754611167
72520M68P02000,08_tuned_capped_regression,XGBoost Tweedie depth2 reg20 cap15,72.71175309461518,SBA Croston,108.69804778632478,-35.9862946917096
7252261M00000,08_tuned_capped_regression,Random Forest log1p leaf2 sqrt,103.22007570105141,Recent Mean 6m,117.75067750677506,-14.530601805723649
72821M76MA0000,08_tuned_capped_regression,Extra Trees log1p leaf5 half features,96.3440196423079,SBA Croston,99.45079043515923,-3.1067707928513357
7283165D10000,06_intermittent_tournament,Recent Mean 6m,100.0,Recent Mean 6m,100.0,0.0
7283181A01000,06_intermittent_tournament,SBA Croston,100.54009928295643,SBA Croston,100.54009928295643,0.0
7287078A33000,08_tuned_capped_regression,Random Forest log1p leaf4 sqrt,125.1419234876893,TSB,128.51817504711198,-3.376251559422684
73111M62S515PK,08_tuned_capped_regression,Extra Trees log1p leaf5 half features,108.35277286902853,SBA Croston,108.81310731515202,-0.46033444612349683
73310M68P61C8J,06_intermittent_tournament,SBA Croston,97.52671468904036,SBA Croston,97.52671468904036,0.0
73310M68P61GJL,06_intermittent_tournament,SBA Croston,124.20634584209344,SBA Croston,124.20634584209344,0.0
73410M74L105PK,08_tuned_capped_regression,Hurdle Random Forest threshold 0.25,90.30639850959585,TSB,111.54034301529796,-21.233944505702112
73412M53M10U3J,06_intermittent_tournament,SBA Croston,137.51546073944235,SBA Croston,137.51546073944235,0.0
7343061J00R8H,06_intermittent_tournament,SBA Croston,115.76455081105154,SBA Croston,115.76455081105154,0.0
7361052R005PK,08_tuned_capped_regression,Hurdle Random Forest threshold 0.15,99.86434136106816,SBA Croston,100.0,-0.1356586389318437
7361075H015PK,06_intermittent_tournament,Recent Mean 6m,100.0478927203065,Recent Mean 6m,100.0478927203065,0.0
73610M68P00C48,08_tuned_capped_regression,Random Forest log1p leaf2 sqrt,96.25887155027863,SBA Croston,100.462048191657,-4.203176641378377
73630M76M01GJL,06_intermittent_tournament,TSB,117.87708711260012,TSB,117.87708711260012,0.0
73820M55R60PSG,08_tuned_capped_regression,Random Forest log1p leaf2 sqrt,113.15094190827207,SBA Croston,126.8784071610812,-13.727465252809125
7382273R505PK,08_tuned_capped_regression,Hurdle Random Forest threshold 0.15,100.0,TSB,106.7227516336989,-6.7227516336989055
7382276J00ZCP,08_tuned_capped_regression,Hurdle Random Forest threshold 0.15,100.0,SBA Croston,100.4965382817983,-0.4965382817982942
73841M68P60C8J,06_intermittent_tournament,SBA Croston,98.52320951617492,SBA Croston,98.52320951617492,0.0
