sku_id,candidate_source,candidate_model_key,candidate_model,mean_rolling_3m_wmape_percent,horizon_wmape_percent,actual_total,forecast_total,absolute_error,bias,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,selection_score
4325065DA1C48,06_intermittent_tournament,tsb,TSB,111.07248950940884,141.27564451355337,63.0,48.75535508002906,89.00365604353863,-14.24464491997094,41,162,0,111.07248950940884
7246073R00000,06_intermittent_tournament,sba_croston,SBA Croston,111.09887151255695,104.80155832577717,116.0,78.5611678450945,121.56980765790148,-37.4388321549055,75,162,0,111.09887151255695
77831M79M000PG,06_intermittent_tournament,tsb,TSB,111.24073251386515,127.03503602195856,82.0,44.78250441734264,104.168729538006,-37.21749558265736,40,162,0,111.24073251386515
73410M74L105PK,06_intermittent_tournament,tsb,TSB,111.54034301529796,156.68147533974883,26.0,22.601538855789173,40.737183588334695,-3.398461144210824,26,162,0,111.54034301529796
61513M56R01000,06_intermittent_tournament,tsb,TSB,111.56642543298284,179.13135340790205,22.0,23.60973167102764,39.40889774973844,1.609731671027645,22,162,0,111.56642543298284
0915912L02000,06_intermittent_tournament,hurdle_random_forest,Hurdle Random Forest,111.71387901517964,206.13609102741927,50.0,53.06804551370962,103.06804551370963,3.0680455137096203,14,37,37,111.71387901517964
7724061M005PK,06_intermittent_tournament,hurdle_random_forest,Hurdle Random Forest,111.72976094994732,412.3764818779598,16.0,66.35795917113578,65.98023710047357,50.357959171135775,16,127,0,111.72976094994732
4325079P00ZH1,06_intermittent_tournament,sba_croston,SBA Croston,111.75771055738409,125.6849977741242,107.0,76.32782928547786,134.4829476183129,-30.67217071452213,52,162,0,111.75771055738409
0940915304000,06_intermittent_tournament,sba_croston,SBA Croston,111.94734806200675,138.71363241488962,169.0,101.15027700831024,234.42603878116344,-67.84972299168976,28,162,0,111.94734806200675
3570273R10000,06_intermittent_tournament,tsb,TSB,111.9766143997516,141.65698276699536,69.0,53.05300571004167,97.7433181092268,-15.946994289958338,38,162,0,111.9766143997516
7178254P00000,06_intermittent_tournament,tsb,TSB,112.01434008924886,155.1192398082638,53.0,47.74733162276985,82.21319709837981,-5.252668377230156,41,162,0,112.01434008924886
35153M59K20000,06_intermittent_tournament,sba_croston,SBA Croston,112.02641343849244,103.22524167837092,278.0,132.92028209020992,286.9661718658712,-145.07971790979005,76,162,18,112.02641343849244
7171584A00ZM2,06_intermittent_tournament,sba_croston,SBA Croston,112.08388548332938,140.25958468498374,183.0,92.16908679027168,256.67503997352026,-90.83091320972832,17,162,0,112.08388548332938
3532052R20000,06_intermittent_tournament,sba_croston,SBA Croston,112.17223923936342,137.55049226786377,76.0,71.0833501715208,104.53837412357646,-4.916649828479201,49,162,0,112.17223923936342
7171754GA0000,06_intermittent_tournament,sba_croston,SBA Croston,112.17243336307516,155.55359000136653,84.0,54.3355741726254,130.66501560114787,-29.664425827374597,12,162,0,112.17243336307516
43210M76M5127N,06_intermittent_tournament,sba_croston,SBA Croston,112.19066238100596,118.05789556671331,65.0,56.99831341177837,76.73763211836365,-8.001686588221629,65,162,0,112.19066238100596
8450171L02000,06_intermittent_tournament,tsb,TSB,112.27707962518694,176.5237655721153,21.0,21.623435303888545,37.069990770144216,0.6234353038885421,19,162,0,112.27707962518694
5827080J20000,06_intermittent_tournament,sba_croston,SBA Croston,112.29625308924628,117.80755038884932,86.0,60.44992311276148,101.3144933344104,-25.550076887238525,60,162,0,112.29625308924628
38330M68K01000,06_intermittent_tournament,recent_mean_6,Recent Mean 6m,112.42937853107344,176.34408602150535,31.0,33.0,54.66666666666666,1.999999999999995,25,126,0,112.42937853107344
35671M79G30000,06_intermittent_tournament,sba_croston,SBA Croston,112.4411969066358,115.71053833507575,91.0,83.24369497427429,105.29658988491894,-7.756305025725707,67,162,0,112.4411969066358
11710M79F80000,06_intermittent_tournament,sba_croston,SBA Croston,112.56931687780757,157.45881324334567,80.0,126.18301663229514,125.96705059467652,46.18301663229512,58,162,18,112.56931687780757
71751M50S005PK,06_intermittent_tournament,sba_croston,SBA Croston,112.59605771884168,118.89986248278142,83.0,45.41601092761067,98.68688586070856,-37.58398907238934,53,162,0,112.59605771884168
083100012A000,06_intermittent_tournament,tsb,TSB,112.79530792667116,197.74998260693727,27.0,31.56811609555389,53.39249530387307,4.568116095553888,12,162,0,112.79530792667116
82814M75J00000,06_intermittent_tournament,sba_croston,SBA Croston,112.84009187974716,129.15996714084292,77.0,69.97722629232854,99.45317469844906,-7.022773707671465,55,162,0,112.84009187974716
11710M76M00000,06_intermittent_tournament,sba_croston,SBA Croston,112.88557841785412,105.38316017714372,157.0,105.06214824754947,165.45156147811565,-51.93785175245052,73,162,0,112.88557841785412
75463M75J00000,06_intermittent_tournament,sba_croston,SBA Croston,112.9651102448683,136.69961781366004,64.0,72.53885769093677,87.48775540074243,8.538857690936771,53,162,0,112.9651102448683
7211062R00ES5,06_intermittent_tournament,sba_croston,SBA Croston,112.97059208143888,114.04718095161331,81.0,70.30191086747374,92.3782165708068,-10.69808913252627,68,162,0,112.97059208143888
5741079P00000,06_intermittent_tournament,sba_croston,SBA Croston,113.06264563402644,123.91997354711218,79.0,69.36703503501568,97.89677910221864,-9.632964964984325,59,162,0,113.06264563402644
38315M68K00000,06_intermittent_tournament,recent_mean_6,Recent Mean 6m,113.0892255892256,160.65573770491804,61.0,90.0,98.0,29.0,49,144,0,113.0892255892256
72321M79G00000,06_intermittent_tournament,sba_croston,SBA Croston,113.13503302051204,182.2798479336462,41.0,61.29004744215112,74.73473765279495,20.290047442151117,37,162,0,113.13503302051204
0915924009000,06_intermittent_tournament,sba_croston_tuned,SBA Croston Tuned,113.1510253736531,150.74989082288351,39.0,29.947445255474456,58.79245742092458,-9.052554744525544,27,162,0,113.1510253736531
09409063095ES,06_intermittent_tournament,recent_mean_6,Recent Mean 6m,113.28333333333332,315.7777777777778,150.0,342.0,473.6666666666667,192.0,9,108,72,113.28333333333332
3882151K02000,06_intermittent_tournament,sba_croston,SBA Croston,113.32714276880613,140.44233683333354,71.0,50.00848628199712,99.7140591516668,-20.99151371800287,35,162,0,113.32714276880613
71734M58R00000,06_intermittent_tournament,sba_croston,SBA Croston,113.39731154511006,122.5101298171304,73.0,57.00593305373323,89.43239476650518,-15.994066946266766,57,162,0,113.39731154511006
