candidate_source,candidate_model,champion_quality,sku_count,actual_total,forecast_total,absolute_error,median_rolling_wmape,portfolio_horizon_wmape_percent
08_tuned_capped_regression,Extra Trees log1p leaf2 sqrt,under_70,2,44.0,14.658472165113816,34.68219788814757,56.0552538070158,78.8231770185172
07_clean_regression,Direct Random Forest,under_100,1,471.0,282.2387997597538,320.13598961776165,70.53696265435858,67.96942454729547
07_clean_regression,Direct Random Forest log1p,under_100,1,159.0,129.6427728827561,149.08512349366606,86.91496251633133,93.7642286123686
06_intermittent_tournament,SBA Croston Tuned,under_100,1,150.0,170.07333591099243,117.91920178326656,88.34958026367312,78.61280118884437
06_intermittent_tournament,Boosted SBA Hybrid,under_100,1,134.0,44.680639818685584,125.51075586524296,93.2088076955146,93.66474318301714
08_tuned_capped_regression,Extra Trees log1p leaf5 sqrt,under_50,1,32.0,19.4986762044117,18.818873054270412,43.04457907132071,58.808978294595036
08_tuned_capped_regression,Hurdle Random Forest threshold 0.25,under_200,1,16.0,3.6393644271021524,18.085695643733935,105.59903017691045,113.03559777333709
08_tuned_capped_regression,Hurdle Random Forest threshold 0.15,under_70,1,15.0,20.987453967483034,13.009873787312081,65.0669828821204,86.73249191541387
08_tuned_capped_regression,Hurdle XGBoost threshold 0.10,under_200,1,15.0,30.502165058409986,42.36737018640288,106.40966103953143,282.44913457601916
08_tuned_capped_regression,Hurdle Random Forest threshold 0.15,under_200,1,7.0,2.235356516262855,9.235356516262854,104.92063697889496,131.93366451804079
08_tuned_capped_regression,Extra Trees log1p leaf5 half features,under_70,1,6.0,2.489100561574002,5.06841022972171,64.97883586281489,84.47350382869517
