sku_id,candidate_source,candidate_model_key,candidate_model,mean_rolling_3m_wmape_percent,horizon_wmape_percent,actual_total,forecast_total,absolute_error,bias,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,selection_score,champion_quality,sku_predictability_segment
87211M76G00T01,08_tuned_capped_regression,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,110.57123218307616,23.0,2.4313834021075165,25.431383402107517,-20.568616597892483,18,3,0,100.0,under_100,repeatable_lumpy
87286M81P00000,08_tuned_capped_regression,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,102.30866996039686,101.60529658321475,138.0,3.7396717401147677,140.21530928483637,-134.26032825988523,69,5,0,102.30866996039686,under_200,high_volume_repeatable
87491M68P105PK,06_intermittent_tournament,sba_croston,SBA Croston,102.13743405533974,91.49299107448296,227.0,120.3813941754509,207.68908973907637,-106.61860582454912,94,162,0,102.13743405533974,under_200,high_volume_repeatable
87991M68P105PK,08_tuned_capped_regression,hist_poisson_lr05_nodes31_reg05,Hist Poisson lr05 nodes31 reg05,95.26199491409011,89.13638878296058,137.0,66.94629015170842,122.11685263265599,-70.05370984829156,44,72,23,95.26199491409011,under_100,repeatable_lumpy
88912M76M00000,06_intermittent_tournament,hurdle_random_forest,Hurdle Random Forest,100.0,170.57096478847726,23.0,16.23132190134977,39.231321901349766,-6.768678098650232,11,46,0,100.0,under_100,sparse_lumpy
88921M68P01000,08_tuned_capped_regression,extra_trees_log1p_leaf5_half,Extra Trees log1p leaf5 half features,81.60259457508083,81.46999922797892,205.0,69.50225738153162,167.01349841735677,-135.49774261846838,45,54,41,81.60259457508083,under_100,repeatable_lumpy
8926050J00000,06_intermittent_tournament,sba_croston,SBA Croston,98.49626634958508,98.95481468591828,116.0,29.367326683608333,114.7875850356652,-86.63267331639166,84,108,0,98.49626634958508,under_100,high_volume_repeatable
89267M60M00000,08_tuned_capped_regression,extra_trees_log1p_leaf5_sqrt,Extra Trees log1p leaf5 sqrt,81.33000222204451,143.7345378462838,2.0,4.52781668907904,2.874690756925676,2.5278166890790397,2,5,1,81.33000222204451,under_100,ultra_sparse
89969M52R00000,08_tuned_capped_regression,extra_trees_log1p_leaf5_half,Extra Trees log1p leaf5 half features,82.48941380763037,75.41922532859809,88.0,52.81768908769465,66.36891828916632,-35.18231091230535,39,54,20,82.48941380763037,under_100,repeatable_lumpy
89969M63J00000,07_clean_regression,direct_random_forest_log1p,Direct Random Forest log1p,86.91496251633133,93.7642286123686,159.0,129.6427728827561,149.08512349366606,-29.35722711724388,85,162,15,86.91496251633133,under_100,high_volume_repeatable
9531071L01000,08_tuned_capped_regression,extra_trees_log1p_leaf10_sqrt,Extra Trees log1p leaf10 sqrt,91.80841931556368,80.11346958754164,166.0,217.81225227171473,132.98835951531913,51.81225227171472,106,144,137,91.80841931556368,under_100,high_volume_repeatable
95310M68K00000,06_intermittent_tournament,sba_croston,SBA Croston,101.54146728932638,101.90711365802062,167.0,22.14119442931648,170.18487980889444,-144.85880557068353,91,108,0,101.54146728932638,under_200,high_volume_repeatable
95310M75T00000,08_tuned_capped_regression,extra_trees_log1p_leaf2_sqrt,Extra Trees log1p leaf2 sqrt,78.20408575652023,82.43345600739319,5.0,2.607457879941261,4.12167280036966,-2.392542120058739,2,3,0,78.20408575652023,under_100,ultra_sparse
