sku_id,model_key,model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,horizon_wmape_percent,mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,feature_count,fit_status,wmape_valid,selection_score
48150M69R00C48,hurdle_rf_thr25,Hurdle Random Forest threshold 0.25,2,36,58.0,71.94014038042702,57.715915584570844,13.94014038042704,99.51019928374284,133.69379521800468,86.94827765572012,36,23,36,36,761,fit_hurdle_rf,True,133.69379521800468
48150M69R00C48,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,9,162,217.0,322.4460669303039,250.61744782055302,105.44606693030393,115.49191143804286,173.32495738426206,115.23130885389975,160,96,162,162,779,fit_hurdle_rf,True,173.32495738426206
48150M69R00C48,hurdle_xgb_thr10,Hurdle XGBoost threshold 0.10,2,36,56.0,62.98927354352995,50.59650524157893,6.989273543529944,90.35090221710524,121.61145945070062,90.04202633603875,35,24,36,36,779,fallback_hist_hurdle_xgboost_missing,True,121.61145945070062
48150M69R00C48,hurdle_xgb_thr20,Hurdle XGBoost threshold 0.20,2,36,56.0,62.98927354352995,50.59650524157893,6.989273543529944,90.35090221710524,121.61145945070062,90.04202633603875,35,24,36,36,779,fallback_hist_hurdle_xgboost_missing,True,121.61145945070062
48150M69R00C48,hurdle_xgb_thr30,Hurdle XGBoost threshold 0.30,9,162,217.0,248.7060526206136,214.298417555341,31.70605262061361,98.75503113149355,132.39938137097192,94.80694982510433,160,96,162,162,779,fallback_hist_hurdle_xgboost_missing,True,132.39938137097192
48150M69R00C48,rf_log1p_leaf2_sqrt,Random Forest log1p leaf2 sqrt,1,18,39.0,20.205921795514165,30.904657868063723,-18.794078204485835,79.24271248221467,71.73237480829769,71.51814635356901,18,13,18,18,729,fit,True,71.73237480829769
48150M69R00C48,rf_log1p_leaf4_sqrt,Random Forest log1p leaf4 sqrt,5,90,115.0,115.44757652800801,106.04419255904266,0.44757652800801795,92.21234135568926,118.95412164491876,87.245250510277,90,54,90,85,778,fit,True,118.95412164491876
48150M69R00C48,rf_log1p_leaf8_sqrt,Random Forest log1p leaf8 sqrt,7,126,175.0,151.404343417946,160.00400612974016,-23.595656582054005,91.4308606455658,108.28565742441366,86.5694607747053,124,75,126,103,779,fit,True,108.28565742441366
48150M69R00C48,xgb_tweedie_depth2_reg10,XGBoost Tweedie depth2 reg10,9,162,217.0,227.53524346082023,210.56056576821976,10.535243460820222,97.03251878719804,128.25414489603224,91.95094683748312,160,96,162,128,779,fallback_hist_poisson_xgboost_missing,True,128.25414489603224
48150M69R00C48,xgb_tweedie_depth2_reg20_cap15,XGBoost Tweedie depth2 reg20 cap15,1,18,39.0,19.9750679135546,31.11171321356314,-19.0249320864454,79.77362362452087,72.86445282646447,73.85093282631969,18,13,18,17,729,fallback_hist_poisson_xgboost_missing,True,72.86445282646447
48150M69R00C48,xgb_tweedie_depth3_reg5,XGBoost Tweedie depth3 reg5,1,18,39.0,19.9750679135546,31.11171321356314,-19.0249320864454,79.77362362452087,72.86445282646447,73.85093282631969,18,13,18,17,729,fallback_hist_poisson_xgboost_missing,True,72.86445282646447
48150M69R00C48,xgb_tweedie_depth4_reg5,XGBoost Tweedie depth4 reg5,1,18,39.0,19.9750679135546,31.11171321356314,-19.0249320864454,79.77362362452087,72.86445282646447,73.85093282631969,18,13,18,17,729,fallback_hist_poisson_xgboost_missing,True,72.86445282646447
48150M79M11C48,extra_trees_log1p_leaf10_sqrt,Extra Trees log1p leaf10 sqrt,8,144,123.0,54.03405254185493,166.1184339737057,-68.96594745814508,135.0556373769965,111.74094882284109,101.99985532125334,29,15,144,0,778,fit,True,111.74094882284109
48150M79M11C48,extra_trees_log1p_leaf2_sqrt,Extra Trees log1p leaf2 sqrt,6,108,102.0,25.5334889431313,122.06404591547884,-76.46651105686871,119.67063325046945,106.69930149687796,100.95354267920936,22,12,108,0,778,fit,True,106.69930149687796
48150M79M11C48,extra_trees_log1p_leaf5_half,Extra Trees log1p leaf5 half features,3,54,2.0,11.84669795584122,12.827431549278367,9.846697955841222,641.3715774639184,123.32144656924447,122.55095699215617,6,2,54,0,779,fit,True,123.32144656924447
48150M79M11C48,extra_trees_log1p_leaf5_sqrt,Extra Trees log1p leaf5 sqrt,6,108,102.0,33.1273684134719,128.07731023010942,-68.8726315865281,125.56599042167589,108.54134521209166,101.28544205079615,22,12,108,0,778,fit,True,108.54134521209166
48150M79M11C48,hist_poisson_lr02_nodes15_reg30,Hist Poisson lr02 nodes15 reg30,3,54,22.0,13.143570787158193,34.078027075816024,-8.856429212841805,154.90012307189102,112.98311304175022,105.31025959450886,8,4,54,0,779,fit,True,112.98311304175022
48150M79M11C48,hist_poisson_lr03_nodes15_reg20,Hist Poisson lr03 nodes15 reg20,4,72,41.0,12.129013725300922,51.597070999854225,-28.870986274699078,125.84651463379079,102.15622318262176,101.18276224271764,11,5,72,0,778,fit,True,102.15622318262176
48150M79M11C48,hist_poisson_lr05_nodes31_reg05,Hist Poisson lr05 nodes31 reg05,4,72,61.0,11.218056303375246,70.32713337852893,-49.78194369662475,115.29038258775233,102.311806322141,100.39323382533536,13,7,72,0,778,fit,True,102.311806322141
48150M79M11C48,hurdle_rf_thr15,Hurdle Random Forest threshold 0.15,1,18,0.0,7.796866980423739,7.796866980423739,7.796866980423739,,,,0,0,18,0,729,fit_hurdle_rf,False,7.796866980423739
48150M79M11C48,hurdle_rf_thr25,Hurdle Random Forest threshold 0.25,2,36,20.0,0.0,20.0,-20.0,100.0,100.0,100.0,4,2,0,0,761,fit_hurdle_rf,True,100.0
48150M79M11C48,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,9,162,124.0,0.0,124.0,-124.0,100.0,100.0,100.0,32,16,0,0,779,fit_hurdle_rf,True,100.0
48150M79M11C48,hurdle_xgb_thr10,Hurdle XGBoost threshold 0.10,2,36,1.0,18.727009027960218,18.058524501552178,17.727009027960218,1805.8524501552179,160.56120764459433,159.04290920838324,3,1,36,0,779,fallback_hist_hurdle_xgboost_missing,True,160.56120764459433
48150M79M11C48,hurdle_xgb_thr20,Hurdle XGBoost threshold 0.20,2,36,1.0,2.760278375771635,3.760278375771635,1.7602783757716356,376.0278375771635,100.0,100.0,3,1,8,0,779,fallback_hist_hurdle_xgboost_missing,True,100.0
