sku_id,recommended_model_key,recommended_model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,recommended_horizon_wmape_percent,recommended_mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,wmape_valid,recommended_selection_score,recommended_selection_metric,recommended_bias_percent,recommended_wmape_band,recommendation_quality
65500M79M00000,tsb,TSB,9,162,25.0,46.93121673958623,55.952275437574734,21.931216739586226,223.80910175029894,127.5546517019369,124.39522508967738,59,21,162,0,True,127.5546517019369,mean_rolling_3m_wmape_percent,87.7248669583449,100_to_200,under_200
8183065J02000,tsb,TSB,9,162,23.0,57.72166899972049,66.03457404254986,34.72166899972049,287.1068436632603,127.94310657325815,131.35702657825516,50,18,162,0,True,127.94310657325815,mean_rolling_3m_wmape_percent,150.9637782596543,100_to_200,under_200
15910M79GB1000,sba_croston,SBA Croston,9,162,132.0,144.618238715713,192.20776685964887,12.618238715713012,145.61194459064308,128.28645863246157,133.00077554169815,100,47,162,0,True,128.28645863246157,mean_rolling_3m_wmape_percent,9.559271754328039,100_to_200,under_200
7287078A33000,tsb,TSB,9,162,80.0,107.86629726695769,144.75314757093258,27.86629726695768,180.94143446366573,128.51817504711198,119.88424620875183,70,31,162,18,True,128.51817504711198,mean_rolling_3m_wmape_percent,34.8328715836971,100_to_200,under_200
8276161A00000,recent_mean_6,Recent Mean 6m,9,162,32.0,53.99999999999999,70.66666666666667,21.999999999999996,220.83333333333334,128.84990253411306,116.66666666666667,57,22,162,0,True,128.84990253411306,mean_rolling_3m_wmape_percent,68.74999999999999,100_to_200,under_200
35651M79G40000,sba_croston_tuned,SBA Croston Tuned,9,162,38.0,88.6647428426713,88.71726003384308,50.66474284267129,233.46647377327122,129.26931070880323,132.83681264447526,79,32,162,18,True,129.26931070880323,mean_rolling_3m_wmape_percent,133.32827063860864,100_to_200,under_200
0932010024000,recent_mean_6,Recent Mean 6m,9,162,176.0,228.0,304.0,51.999999999999986,172.72727272727272,129.41683919944788,133.33333333333331,92,35,162,108,True,129.41683919944788,mean_rolling_3m_wmape_percent,29.545454545454536,100_to_200,under_200
6800280820000,sba_croston,SBA Croston,9,162,29.0,69.06339585541785,74.69199457928734,40.06339585541786,257.55860199754255,129.55139280008234,141.17647058823528,70,27,162,0,True,129.55139280008234,mean_rolling_3m_wmape_percent,138.14964088075124,100_to_200,under_200
7724054P105PK,sba_croston,SBA Croston,9,162,54.0,85.02498560310522,87.61476342833328,31.024985603105215,162.2495619043209,130.97208636528865,149.63265306122452,119,49,162,0,True,130.97208636528865,mean_rolling_3m_wmape_percent,57.45367704278743,100_to_200,under_200
83922M68P000CB,seasonal_sba_croston,Seasonal SBA Croston,9,162,49.0,92.88493332099736,95.59936486388499,43.884933320997355,195.10074462017343,131.28505909813194,137.33093724597342,106,41,162,18,True,131.28505909813194,mean_rolling_3m_wmape_percent,89.56108841019868,100_to_200,under_200
1787880G00000,recent_mean_6,Recent Mean 6m,9,162,20.0,69.0,70.66666666666667,49.0,353.33333333333337,131.59722222222226,116.66666666666667,48,19,108,18,True,131.59722222222226,mean_rolling_3m_wmape_percent,245.0,100_to_200,under_200
5812165J00000,sba_croston,SBA Croston,9,162,54.0,107.27617854094927,115.94567927133599,53.276178540949275,214.71422087284444,131.67260638096204,133.53765045891953,80,34,162,0,True,131.67260638096204,mean_rolling_3m_wmape_percent,98.65958989064681,100_to_200,under_200
71091M843005PK,sba_croston,SBA Croston,9,162,53.0,70.65592649718964,98.69256161950034,17.65592649718963,186.2123804141516,131.87462442126665,147.96017408184352,64,29,162,0,True,131.87462442126665,mean_rolling_3m_wmape_percent,33.31306886262195,100_to_200,under_200
82504M84500000,tsb,TSB,9,162,77.0,92.39673555565018,127.22152515185873,15.396735555650174,165.22275993747888,132.33553962299538,135.33172484453763,97,36,162,0,True,132.33553962299538,mean_rolling_3m_wmape_percent,19.995760461883343,100_to_200,under_200
1161073K00000,sba_croston,SBA Croston,9,162,89.0,101.29921405313603,176.51017386485805,12.29921405313603,198.3260380504023,132.93465584921313,115.42263964409294,35,12,162,0,True,132.93465584921313,mean_rolling_3m_wmape_percent,13.819341632737112,100_to_200,under_200
41710M68K00000,sba_croston,SBA Croston,9,162,337.0,312.64764375084707,412.1899327610053,-24.352356249152905,122.3115527480728,133.17299240481717,114.38132064247475,135,70,162,144,True,133.17299240481717,mean_rolling_3m_wmape_percent,-7.226218471558725,100_to_200,under_200
