sku_id,model_key,model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,horizon_wmape_percent,mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,wmape_valid,selection_score,selection_metric,bias_percent,wmape_band
01550M0612A,recent_mean_6,Recent Mean 6m,9,162,22.0,108.0,123.33333333333333,86.0,560.6060606060605,220.0,100.0,25,9,54,54,True,220.0,mean_rolling_3m_wmape_percent,390.90909090909093,over_200
01550M0612A,hurdle_random_forest,Hurdle Random Forest,9,162,22.0,177.7167789887654,189.13501333913348,155.7167789887654,859.7046060869703,226.13128470963719,100.0,25,9,44,44,True,226.13128470963719,mean_rolling_3m_wmape_percent,707.8035408580246,over_200
01550M0612A,aggregate_allocation,Aggregate Allocation,9,162,22.0,278.0351398541844,281.0228432071211,256.0351398541844,1277.3765600323686,377.11144944449273,290.2176388975171,25,9,162,157,True,377.11144944449273,mean_rolling_3m_wmape_percent,1163.7960902462928,over_200
01550M0612A,sba_croston_tuned,SBA Croston Tuned,9,162,22.0,302.40000000000003,304.20000000000005,280.40000000000003,1382.727272727273,377.6,440.00000000000006,25,9,162,162,True,377.6,mean_rolling_3m_wmape_percent,1274.5454545454547,over_200
01550M0612A,seasonal_sba_croston,Seasonal SBA Croston,9,162,22.0,302.40000000000003,304.20000000000005,280.4,1382.727272727273,382.2017970965636,440.00000000000006,25,9,162,162,True,382.2017970965636,mean_rolling_3m_wmape_percent,1274.5454545454543,over_200
01550M0612A,boosted_sba_hybrid,Boosted SBA Hybrid,9,162,22.0,383.2777228820588,382.86436536143754,361.2777228820588,1740.292569824716,468.38502799757754,525.4827657003871,25,9,162,162,True,468.38502799757754,mean_rolling_3m_wmape_percent,1642.1714676457218,over_200
01550M0612A,sba_croston,SBA Croston,9,162,22.0,381.09037037037035,382.05037037037033,359.09037037037035,1736.5925925925926,504.7407407407406,591.3580246913579,25,9,162,162,True,504.7407407407406,mean_rolling_3m_wmape_percent,1632.2289562289561,over_200
01550M0612A,tsb,TSB,9,162,22.0,650.1206714879843,635.74785925298,628.1206714879842,2889.7629966044547,583.7711429750061,369.62886039234047,25,9,162,144,True,583.7711429750061,mean_rolling_3m_wmape_percent,2855.093961309019,over_200
021620616A000,tsb,TSB,9,162,83.0,33.455851212910375,108.62535623694936,-49.54414878708962,130.87392317704743,109.05279482586447,103.25538056593369,46,17,162,0,True,109.05279482586447,mean_rolling_3m_wmape_percent,-59.69174552661399,100_to_200
021620616A000,sba_croston_tuned,SBA Croston Tuned,9,162,83.0,53.69767606928387,124.74871267208627,-29.302323930716135,150.29965382179068,113.40850186084525,107.4107142857143,46,17,162,0,True,113.40850186084525,mean_rolling_3m_wmape_percent,-35.30400473580257,100_to_200
