candidate_id,positive_skus,under_50,under_70,under_100,median_wmape,portfolio_wmape,actual_total,forecast_total,pct_below_50,pct_below_70,pct_below_100
SKU classification and cold-start candidates incumbent,40,4,8,12,117.82805039262007,137.11087660881776,775.0,1124.3171231544347,10.0,20.0,30.0
Cold-start launch hurdle locked challenger,40,1,10,21,97.97219774522105,90.43516861624767,775.0,470.78888198467223,2.5,25.0,52.5
