cohort,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,pct_below_50,pct_below_70,pct_below_100
occasional_a,12,9,0,0,1,445.77017906621575,718.1827762063967,0.3809453950206874,169.36766993240033,95.0,110.11664254370915,15.912255309167524,0.0,0.0,11.11111111111111
occasional_b,26,22,0,2,7,108.6556583611175,200.24085256424368,0.5910574563065896,108.5586896777302,194.0,111.95019372103533,-42.29371457678591,0.0,9.090909090909092,31.818181818181817
occasional_c,78,72,0,1,5,242.86685391511747,606.2553875985653,1.813537658934147,239.48885976606542,388.0,887.3662796693986,128.70264939932954,0.0,1.3888888888888888,6.944444444444445
all_occasional,116,103,0,3,13,200.81710863088978,490.5340746922508,1.1977064337047216,192.12997345685537,677.0,1109.4331159341434,63.874906341823255,0.0,2.912621359223301,12.62135922330097
