month,wmape,rolling_3m_wmape
2024-10-01,99.599537996608,
2024-11-01,97.13638677524116,
2024-12-01,98.57078434291545,98.43556970492153
2025-01-01,98.05110165886263,97.9194242590064
2025-02-01,97.5990762740612,98.07365409194642
2025-03-01,95.3166318887903,96.98893660723805
2025-04-01,96.58049987998403,96.4987360142785
2025-05-01,95.34843992834548,95.74852389903994
2025-06-01,98.3396574476107,96.75619908531341
2025-07-01,97.5894607002258,97.09251935872733
2025-08-01,96.98239035263367,97.63716950015673
2025-09-01,96.00858879432867,96.86014661572938
2025-10-01,97.39461756629547,96.79519890441928
2025-11-01,98.2451685330806,97.21612496456824
2025-12-01,97.92032730880176,97.85337113605927
2026-01-01,97.93444099703392,98.03331227963876
2026-02-01,98.60389328217943,98.15288719600504
2026-03-01,97.92621309311491,98.15484912410942
2026-04-01,97.29727748705241,97.94246128744892
