month,wmape,rolling_3m_wmape
2024-10-01,100.60937783748697,
2024-11-01,95.58913543066627,
2024-12-01,97.7068411030642,97.96845145707249
2025-01-01,96.68859581730288,96.66152411701113
2025-02-01,96.79546834360721,97.06363508799143
2025-03-01,95.97120601309092,96.48509005800032
2025-04-01,96.87314494378822,96.54660643349546
2025-05-01,95.8308114076943,96.22505412152448
2025-06-01,97.22326207695725,96.64240614281327
2025-07-01,99.31914731645924,97.45774026703693
2025-08-01,98.04927943402498,98.19722960914716
2025-09-01,98.15338860203366,98.50727178417263
2025-10-01,99.03772031799862,98.41346278468575
2025-11-01,99.32461428627215,98.83857440210147
2025-12-01,99.51710552368458,99.29314670931844
2026-01-01,99.80861638248385,99.55011206414686
2026-02-01,99.79455550345922,99.70675913654254
2026-03-01,99.64989271023347,99.75102153205886
2026-04-01,99.62333260486234,99.68926027285168
