model,demand_type,sku_id,sku_wmape
xgboost,smooth,35970M55K01000,325.63462257385254
xgboost,smooth,36212M79M00000,14.135468006134033
xgboost,smooth,3625454P01000,91.28754138946533
xgboost,smooth,3641051K00000,9.6571683883667
xgboost,smooth,3641063J21000,15.062510967254639
xgboost,smooth,36410M75F30000,81.87147776285806
xgboost,smooth,3658454P01000,10.57233214378357
xgboost,smooth,3714552R00000,159.12206172943115
xgboost,smooth,3773754P00000,
xgboost,smooth,3845052R00000,22.709743181864418
xgboost,smooth,3845061M10000,19.724702835083008
xgboost,smooth,3845065J00000,21.82122071584066
xgboost,smooth,38450M55T10000,16.20463728904724
xgboost,smooth,38450M56R30000,9.690973493787977
xgboost,smooth,38450M56R40000,1.9048690795898438
xgboost,smooth,38450M62S00000,3.764033317565918
xgboost,smooth,38450M68P10000,59.9543707711356
xgboost,smooth,39251M74LA0000,22.084317888532365
xgboost,smooth,3932177R00000,154.35712337493896
xgboost,smooth,39321M56R10000,36.79467837015788
xgboost,smooth,39321M62S00000,47.03711271286011
xgboost,smooth,3932277R00000,160.68212985992432
xgboost,smooth,39322M56R10000,40.53468704223633
xgboost,smooth,39322M62S00000,9.08018946647644
xgboost,smooth,3F920M80TA0000,75.79305171966553
xgboost,smooth,4321052RG1QC8,
xgboost,smooth,4321080SG0QC8,9.26438570022583
xgboost,smooth,43210M55R0109L,6.402420997619629
xgboost,smooth,43210M62S5209L,30.182965596516926
xgboost,smooth,43210M68PJ0QC8,15.282405506480822
xgboost,smooth,43210M74L0309L,
xgboost,smooth,43210M74T60QC8,25.718456506729126
xgboost,smooth,43210M76M0109L,42.7545428276062
xgboost,smooth,43250M55R0027N,5.687541961669922
xgboost,smooth,43250M55R1027N,36.78654034932454
xgboost,smooth,43250M68P3027N,38.46524953842163
xgboost,smooth,43250M76M1027N,9.106862545013428
xgboost,smooth,5730052R00000,35.2869987487793
xgboost,smooth,5730054P00000,
xgboost,smooth,5730061P00000,9.181022644042969
xgboost,smooth,5730064R00000,14.875149726867676
xgboost,smooth,5730072SA2000,16.87455177307129
xgboost,smooth,57300M53MB0000,
xgboost,smooth,57300M55R03000,49.74283218383789
xgboost,smooth,57300M55T01000,0.647414814342152
xgboost,smooth,57300M62S01000,9.662764413016182
xgboost,smooth,57300M68P10000,1.574269463034237
xgboost,smooth,57300M81R00000,0.17826557159423828
xgboost,smooth,5741054P00000,
xgboost,smooth,5741065J03000,52.62488126754761
xgboost,smooth,57410M53MB0000,15.698115030924479
xgboost,smooth,57410M55R00000,16.937410831451416
xgboost,smooth,57410M68P00000,85.5027437210083
xgboost,smooth,5742052R00000,
xgboost,smooth,5742065J03000,116.9360876083374
xgboost,smooth,57420M53MB0000,1.157081127166748
xgboost,smooth,57420M55R00000,3.7737250328063965
xgboost,smooth,57420M55T00000,12.91515486580985
xgboost,smooth,57420M68P00000,37.08784103393555
xgboost,smooth,57610M74T00000,27.5610089302063
xgboost,smooth,5761153R01000,78.95654439926147
xgboost,smooth,5761153R11000,28.99460792541504
xgboost,smooth,5761161MA0000,2.0903825759887695
xgboost,smooth,57611M53MB0000,
xgboost,smooth,57611M55R10000,21.599917941623264
xgboost,smooth,57611M56R10000,1.2783527374267578
xgboost,smooth,57611M62S00000,127.42576599121094
xgboost,smooth,57611M68P20000,68.0229731968471
xgboost,smooth,57611M68P30000,44.16018591986762
xgboost,smooth,57611M71P00000,41.99657837549846
xgboost,smooth,57611M71P10000,
xgboost,smooth,57611M76M00000,19.183731079101562
xgboost,smooth,57611M81R00000,25.262470245361328
xgboost,smooth,5771153R01000,
xgboost,smooth,5771153R11000,180.85250854492188
xgboost,smooth,5771154P00000,
xgboost,smooth,57711M53MB0000,25.974583625793457
xgboost,smooth,57711M53T00000,10.630337397257488
xgboost,smooth,57711M55R10000,30.67757288614909
