month,wmape,rolling_3m_wmape
2024-10-01,87.85151899618083,
2024-11-01,82.21019751056589,
2024-12-01,89.29159427054873,86.45110359243182
2025-01-01,81.75528739926607,84.41902639346023
2025-02-01,102.11720665604432,91.0546961086197
2025-03-01,96.53653133599485,93.46967513043508
2025-04-01,74.06467598425075,90.90613799209665
2025-05-01,74.79228649809102,81.79783127277888
2025-06-01,84.74066313093172,77.8658752044245
2025-07-01,84.30993210709671,81.28096057870648
2025-08-01,113.94113061655047,94.33057528485965
2025-09-01,104.72687630445708,100.99264634270143
2025-10-01,71.88760022248476,96.85186904783079
2025-11-01,77.52807126405213,84.71418259699799
2025-12-01,83.05493309904412,77.49020152852701
2026-01-01,81.67074458149897,80.7512496481984
2026-02-01,86.4431511322149,83.72294293758598
2026-03-01,107.0185919256425,91.71082921311877
2026-04-01,98.11524200841363,97.19232835542367
