month,wmape,rolling_3m_wmape
2024-10-01,89.60508441758368,
2024-11-01,81.75019956055868,
2024-12-01,84.83213624122166,85.395806739788
2025-01-01,88.86342641423964,85.14858740534
2025-02-01,105.9194160715937,93.20499290901834
2025-03-01,94.23659269227504,96.33981172603613
2025-04-01,77.46089454789914,92.5389677705893
2025-05-01,76.59957671944362,82.76568798653926
2025-06-01,82.26903239552146,78.77650122095474
2025-07-01,81.55436930779636,80.14099280758715
2025-08-01,114.46309910577747,92.76216693636509
2025-09-01,98.22951919510766,98.08232920289383
2025-10-01,73.39770852150895,95.36344227413137
2025-11-01,75.7958380684251,82.47435526168057
2025-12-01,78.45353354425406,75.88236004472937
2026-01-01,88.31298768160674,80.85411976476196
2026-02-01,81.89810723081901,82.88820948555993
2026-03-01,108.31454841811983,92.84188111018186
2026-04-01,93.39577751134158,94.53614438676014
