month,wmape,rolling_3m_wmape
2024-10-01,100.05649671394931,
2024-11-01,97.4937500937237,
2024-12-01,99.03563377552872,98.86196019440058
2025-01-01,98.1242903202448,98.21789139649907
2025-02-01,97.81444311396491,98.32478906991281
2025-03-01,98.32559124123856,98.08810822514943
2025-04-01,97.98705672012883,98.04236369177744
2025-05-01,98.2902088536454,98.20095227167093
2025-06-01,98.5177350212506,98.26500019834161
2025-07-01,97.83638257013807,98.21477548167802
2025-08-01,97.26756579857422,97.87389446332098
2025-09-01,98.38914095736678,97.8310297753597
2025-10-01,98.3581419969543,98.00494958429844
2025-11-01,98.44078054032533,98.39602116488214
2025-12-01,98.28779759552823,98.36224004426929
2026-01-01,97.65248711256014,98.12702174947124
2026-02-01,98.09355601488315,98.0112802409905
2026-03-01,97.7259175924986,97.82398690664729
2026-04-01,96.91548098073818,97.57831819603997
