month,wmape,rolling_3m_wmape
2024-10-01,70.02157478494046,
2024-11-01,67.25938435025068,
2024-12-01,72.1307611839888,69.80390677305998
2025-01-01,64.47894252092152,67.95636268505366
2025-02-01,78.36493330990305,71.65821233827113
2025-03-01,70.82626005709616,71.22337862930691
2025-04-01,64.01600056643743,71.06906464447887
2025-05-01,61.70155479648803,65.51460514000722
2025-06-01,72.05803366509444,65.9251963426733
2025-07-01,63.00650344666854,65.58869730275033
2025-08-01,70.70900061109889,68.59117924095396
2025-09-01,78.38984327016988,70.70178244264577
2025-10-01,63.97584057061054,71.0248948172931
2025-11-01,73.60124565297949,71.98897649791996
2025-12-01,60.94088795007657,66.17265805788887
2026-01-01,70.39538699647655,68.31250686651087
2026-02-01,76.24231921542004,69.19286472065771
2026-03-01,69.39927096720095,72.01232572636584
2026-04-01,63.40694363615299,69.68284460625799
