eval_month,wmape,rows,unique_skus
2024-10-01,70.02157478494046,380,380
2024-11-01,67.25938435025068,381,381
2024-12-01,72.1307611839888,381,381
2025-01-01,64.47894252092152,381,381
2025-02-01,78.36493330990305,382,382
2025-03-01,70.82626005709616,384,384
2025-04-01,64.01600056643743,391,391
2025-05-01,61.70155479648803,394,394
2025-06-01,72.05803366509444,396,396
2025-07-01,63.00650344666854,396,396
2025-08-01,70.70900061109889,396,396
2025-09-01,78.38984327016988,396,396
2025-10-01,63.97584057061054,396,396
2025-11-01,73.60124565297949,396,396
2025-12-01,60.94088795007657,396,396
2026-01-01,70.39538699647655,396,396
2026-02-01,76.24231921542004,396,396
2026-03-01,69.39927096720095,396,396
2026-04-01,63.40694363615299,396,396
