sku_id,variant,demand_type,model,wmape_percent
36410M67K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,64.02372412565278
38450M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,89.07800387768519
38450M74L10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,88.66619716991077
38450M76M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,55.10719323158264
38453M75000000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,119.01185035705566
3925164J00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,76.44930470664546
3932152R00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,79.25992480346135
39321M62S10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,54.2559304327335
3932252R00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,72.49012192090353
41710M74L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,103.25141775196995
4243163J10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,62.755126710150655
4321078R010BK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,87.8661721944809
43210M55T5027N,all_sku_history,erratic,chronos_2_erratic_features_plus_external,57.89213211108477
43210M55T60QC8,all_sku_history,erratic,chronos_2_erratic_features_plus_external,57.05813063672308
43210M68P1009L,all_sku_history,erratic,chronos_2_erratic_features_plus_external,69.26461795965831
43210M68P60ZMQ,all_sku_history,erratic,chronos_2_erratic_features_plus_external,45.12091963379471
43210M75T60QC8,all_sku_history,erratic,chronos_2_erratic_features_plus_external,72.6529894556318
43210M79G5309L,all_sku_history,erratic,chronos_2_erratic_features_plus_external,54.35455854122455
43250M62S0027N,all_sku_history,erratic,chronos_2_erratic_features_plus_external,46.65269756317139
43250M67K0027N,all_sku_history,erratic,chronos_2_erratic_features_plus_external,73.01549036827313
43250M75T0027N,all_sku_history,erratic,chronos_2_erratic_features_plus_external,83.62202562134841
43250M81R1027N,all_sku_history,erratic,chronos_2_erratic_features_plus_external,85.79736139093127
43250M83P0027N,all_sku_history,erratic,chronos_2_erratic_features_plus_external,59.998547852928965
4325283S000PG,all_sku_history,erratic,chronos_2_erratic_features_plus_external,91.29257000667948
43252M67L00AQY,all_sku_history,erratic,chronos_2_erratic_features_plus_external,84.41203288864672
48150M68P10C48,all_sku_history,erratic,chronos_2_erratic_features_plus_external,118.0348155590204
5730065811000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,99.15335289267605
57300M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,74.32409458690219
57300M67P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,79.05652366186443
57300M74L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,65.37747737907227
57300M76M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,79.94094167436873
57410M62S00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,61.93845828374227
57410M74L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,60.25587075795883
57410M76M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,81.21994078159332
57410M79G00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,78.2384199400743
5742054P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,73.76013858751817
57420M62S00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,56.20996383103457
57420M67P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,86.18272542953491
57420M74L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,96.25457184655326
57420M76M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,82.48920189706904
57420M79G00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,108.87779176235199
5761065J10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,66.22976437211037
5761154P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,100.55230820880216
57611M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,108.64508612589403
57611M55T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,39.89586894328777
57611M67P01000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,86.80845192500524
57611M75T10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,67.0259809961506
5771065J10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,73.34339618682861
57711M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,91.34905877567473
57711M67P01000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,55.55272556486584
57711M68K10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,77.20987745693752
57711M71P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,83.21708902007057
57711M75T10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,96.76821444715772
57711M76M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,61.32774997401882
58121M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,66.30311551548186
58200M80T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,72.17082671630078
5823052R00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,70.9554597735405
58230M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,92.07494421438737
58230M62S00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,72.3228703374448
58230M68K01000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,79.67239916324615
5826077K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,57.22153638971263
58270M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,60.348481398362374
58270M75T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,132.0229831494783
58270M76M01000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,81.9119203658331
58280M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,72.08247780799866
58811M78R00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,86.61519069420663
65500M55T10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,68.56592075769291
65561M74L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,46.98693626805356
68001M55T20000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,48.217520158584804
68001M62S12000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,88.14817575307993
68002M55T20000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,66.07222529018625
69100M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,76.8854366030012
69100M67P10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,65.70670786831114
71079M74T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,111.9252895867383
7171064R00ZQ4,all_sku_history,erratic,chronos_2_erratic_features_plus_external,56.44909471705339
7171154L10799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,110.17399744855032
7171161P00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,82.64330656904923
7171178R015PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,52.54189619651207
7171179P00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,42.56436727484878
71711M53MA05PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,90.18165890512795
71711M53MA0799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,104.25769053399563
71711M53MB05PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,127.09617668932134
71711M56R00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,55.247388488944914
71711M62S005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,27.22801430390613
71711M66L005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,133.45081262728746
71711M67P00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,83.87739745582023
71711M68K00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,77.10696399211884
71711M73T115PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,61.11217427371752
71711M74L00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,67.71782129368884
71711M75L00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,72.8340782225132
71711M76M10799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,67.66807436943054
71711M76T00N49,all_sku_history,erratic,chronos_2_erratic_features_plus_external,46.70231860192096
71711M79M00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,66.63249135017395
71712M54T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,57.32436211485612
71712M55T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,65.74604001819579
71712M56R00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,67.19595577035632
71712M79M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,86.70815743652045
71720M76M005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,79.41777436963974
7172160K005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,75.04649965659432
7172161P005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,45.696040746327995
7172177MJ05PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,96.00196209820834
7172179P005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,62.513384222984314
7172186R105PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,66.81617165313047
71721M56R005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,89.87585984998279
71721M60MA05PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,65.56348482767741
71721M74T005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,40.80021072836483
71721M75L005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,76.90395567868207
71721M75T005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,111.99619928995767
71721M78R005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,70.0906909324906
71721M84P005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,89.295344799757
7173154GA0000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,100.15376022883824
7173163J20000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,86.92531387011209
7173171L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,57.85457985375517
71731M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,72.13923208049087
71731M53MB0000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,55.34347971873497
71731M66L005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,89.9461699568707
71731M67P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,62.88879422041086
71731M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,64.7492378185957
7173262R00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,56.587176356050705
7173263J20000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,109.06591415405273
7173271L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,50.39561885468503
71732M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,74.44257803366217
71732M66L005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,83.96214668949446
71732M67P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,69.65174504688808
71732M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,53.5048579176267
71732M74T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,68.45999596610902
71733M55T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,49.48099497910384
71733M74L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,88.92336943570305
71734M55T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,44.32598925844024
71734M68L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,89.06537407920474
71734M74T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,99.28966905131485
7174054L10D2W,all_sku_history,erratic,chronos_2_erratic_features_plus_external,83.87272979902185
7174073R10CUG,all_sku_history,erratic,chronos_2_erratic_features_plus_external,75.35739126412764
7174079P00C48,all_sku_history,erratic,chronos_2_erratic_features_plus_external,71.1727316562946
7174079S00C48,all_sku_history,erratic,chronos_2_erratic_features_plus_external,39.13599089080212
71740M55T10C48,all_sku_history,erratic,chronos_2_erratic_features_plus_external,61.04776287732059
71740M56R00C48,all_sku_history,erratic,chronos_2_erratic_features_plus_external,78.02613095922784
71740M68T00C48,all_sku_history,erratic,chronos_2_erratic_features_plus_external,28.296368083015818
71740M76MA0C48,all_sku_history,erratic,chronos_2_erratic_features_plus_external,36.66382592457991
71740M76T10KDJ,all_sku_history,erratic,chronos_2_erratic_features_plus_external,66.12196055150801
71740M81R00C48,all_sku_history,erratic,chronos_2_erratic_features_plus_external,41.92621516329901
7174160P005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,78.46159129529386
71741M53M005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,88.36521974631718
71741M53MA05PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,60.27453690767288
71741M74L005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,102.94635611421921
71741M75L005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,65.92950820922852
71741M75T00W9K,all_sku_history,erratic,chronos_2_erratic_features_plus_external,105.47431310017903
71741M76M105PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,87.62568584302576
71741M83P005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,46.65440908620055
71743M76M100PG,all_sku_history,erratic,chronos_2_erratic_features_plus_external,82.406485080719
71744M76M100PG,all_sku_history,erratic,chronos_2_erratic_features_plus_external,120.96619009971619
71745M75T10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,113.81024546348131
7175172S205PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,66.02405888693673
7175186R000PG,all_sku_history,erratic,chronos_2_erratic_features_plus_external,53.50893261612103
71751M67P105PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,72.50111345201731
71751M83P105PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,84.31903227515842
71752M54T100PG,all_sku_history,erratic,chronos_2_erratic_features_plus_external,48.974712384052765
71752M83P00PWJ,all_sku_history,erratic,chronos_2_erratic_features_plus_external,88.37423082441092
7176179P105PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,73.42497954765955
71761M52R105PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,82.46304769625608
71761M67P105PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,59.134430763049004
71761M68K105PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,74.47092163151709
71761M74T20ZAM,all_sku_history,erratic,chronos_2_erratic_features_plus_external,58.316127737363175
71761M76MB0Z2S,all_sku_history,erratic,chronos_2_erratic_features_plus_external,91.38628619057792
71761M76MB0ZHJ,all_sku_history,erratic,chronos_2_erratic_features_plus_external,96.83127473382389
71762M54T100PG,all_sku_history,erratic,chronos_2_erratic_features_plus_external,49.48236640070526
7177164R005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,103.54623429236874
7177171L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,116.77984416484833
7177186R000PG,all_sku_history,erratic,chronos_2_erratic_features_plus_external,52.86690689421989
71771M55T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,48.751210375419724
71771M56R100PG,all_sku_history,erratic,chronos_2_erratic_features_plus_external,72.88807498084175
71771M76T00PER,all_sku_history,erratic,chronos_2_erratic_features_plus_external,58.36408079573603
71772M55T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,52.925428399094585
71782M56R100PG,all_sku_history,erratic,chronos_2_erratic_features_plus_external,72.32531394277301
71782M66L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,74.66110900828713
71782M75T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,87.66339358530546
7181179P00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,71.99096989631653
71811M53M00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,54.649672508239746
71811M56R00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,64.77938514006766
71811M56R10799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,68.70085849211766
71811M66L005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,112.45077252388
71811M67P01799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,80.76451364017669
71811M68K00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,100.65953731536865
71811M68P00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,59.81400012969971
71811M74T00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,48.51519325865975
71811M75L00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,96.46992331201379
71811M75T00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,71.18538542399331
71811M76M00799,all_sku_history,erratic,chronos_2_erratic_features_plus_external,73.20442238161641
71811M80T105PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,76.34353461088958
7181365L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,120.05860432982445
7182173K10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,41.99006462097168
7182179P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,60.698486590872
71821M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,95.20092010498047
71821M75T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,80.61580389738083
71821M79M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,156.29798782632707
7182273K10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,53.405273199081414
7182279P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,79.39858039220175
7182280J00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,88.94056350954116
71822M55T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,35.65225949570468
71822M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,88.57990097492299
71822M75T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,84.43637556499905
71822M79M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,147.89671095517966
71823M68L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,50.89244804074687
7187186R000BK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,67.05089622530444
72310M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,102.55420488469741
72312M55R00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,60.89502008337724
72312M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,66.17225907065651
7232154P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,52.277672290802
7232171L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,73.50033554765913
72321M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,59.09300503665453
72321M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,79.63783901471359
72321M74L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,59.237224715096616
72321M76M01000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,62.06718760152017
7232271L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,56.66808173769996
72322M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,50.945343879552986
72322M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,83.05447930875032
72322M74L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,47.66370878844965
72322M76M01000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,92.08394147100903
72371M74L105PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,102.2974853930266
72380M62S01000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,45.76891944521949
72398M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,116.4106194789593
72411M74L10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,90.84433175268627
72420M80T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,80.8155906200409
7242252R00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,55.515690950246956
72431M68L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,99.1923043361077
72433M56R00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,53.89578399204073
72437M68L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,58.823053214861
7248265J00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,55.4805076311505
7282165J00Z2S,all_sku_history,erratic,chronos_2_erratic_features_plus_external,58.00579199715267
73110M68P50ZCA,all_sku_history,erratic,chronos_2_erratic_features_plus_external,79.92393241988289
7343061J00P4Z,all_sku_history,erratic,chronos_2_erratic_features_plus_external,98.28410063471112
73430M75J00P4Z,all_sku_history,erratic,chronos_2_erratic_features_plus_external,49.50518757104874
73821M62S205PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,77.65619115131658
73821M67P305PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,110.65588803852306
73831M68P005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,93.44111585617065
74120M66L10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,92.22403621673584
74461M79M005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,56.591550976622344
7619171L005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,81.5932109951973
7619254P005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,66.73781404308244
76520M68P10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,66.20021593279955
76520M74K01000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,54.179537042658374
77161M68P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,89.57602083683014
77210M74T005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,51.40299438148417
7726054P005PK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,48.250846351896016
