month,wmape,rolling_3m_wmape
2024-10-01,89.31580412064706,
2024-11-01,83.3759555834424,
2024-12-01,89.0821298642041,87.25796318943118
2025-01-01,92.80729759793631,88.42179434852761
2025-02-01,107.17686986533266,96.35543244249102
2025-03-01,98.00962784139892,99.33126510155597
2025-04-01,79.98782812552753,95.05810861075304
2025-05-01,78.51982882140896,85.50576159611181
2025-06-01,84.01582329748976,80.84116008147542
2025-07-01,83.89986158697953,82.14517123529275
2025-08-01,119.61867885444117,95.84478791297015
2025-09-01,107.70354145025576,103.74069396389216
2025-10-01,74.942342132121,100.75485414560598
2025-11-01,75.71545337254506,86.1204456516406
2025-12-01,83.90886408015581,78.18888652827395
2026-01-01,91.30493806136664,83.64308517135584
2026-02-01,83.78882626642618,86.3342094693162
2026-03-01,112.19047229368091,95.7614122071579
2026-04-01,95.12682666425515,97.03537507478741
