model,tuning,mean_wmape,std_wmape,min_wmape,max_wmape,final_rolling_3m,num_months,hyperparameters
lightgbm,Tuned,92.06850635421604,12.816475806380152,74.942342132121,119.61867885444116,97.0353750747874,20,Grid Search CV (Training Set)
lightgbm,Untuned (Baseline),97.44774463057244,1.0664252012605742,95.3166318887903,99.599537996608,97.94246128744892,20,Default
lumpy_hurdle,Untuned (Baseline),99.88696836846816,0.3173705012446331,98.7922033905948,100.0,100.0,20,Default
random_forest,Tuned,88.89311621267531,11.532171522789184,73.39770852150895,114.46309910577747,94.53614438676014,20,Grid Search CV (Training Set)
random_forest,Untuned (Baseline),98.1647236958786,1.4975159865932497,95.58913543066627,100.60937783748696,99.68926027285168,20,Default
xgboost,Tuned,89.43920612457295,12.044758153240858,71.88760022248476,113.94113061655048,97.19232835542368,20,Grid Search CV (Training Set)
xgboost,Untuned (Baseline),98.13049840002536,0.6413503085628369,96.91548098073818,100.05649671394931,97.57831819603996,20,Default
