sku_id,variant,demand_type,model,wmape_percent,abs_error_sum,abs_actual_sum
35650M66L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,125.53469332364888,16.319510132074356,13.0
35650M67P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,101.11726756955757,61.681533217430115,61.0
35650M74L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,78.95370986726549,71.05833888053894,90.0
35650M75T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,99.57339059222828,65.71843779087067,66.0
35651M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,59.74272131919861,11.948544263839722,20.0
35651M75L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,86.97946200499663,32.182400941848755,37.0
35651M76M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,89.20999401145511,32.11559784412384,36.0
3567060K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,83.88686259587605,50.332117557525635,60.0
3567061M10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,61.17269737379891,25.692532896995544,42.0
3567064J20000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,44.88268223675815,14.811285138130188,33.0
3567071L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,71.63209373300727,23.638590931892395,33.0
3567079P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,129.23530212470465,18.09294229745865,14.0
35670M74L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,68.40962977022738,75.93468904495239,111.0
35671M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,76.65101289749146,19.162753224372864,25.0
35671M75L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,70.98725465211001,31.234392046928406,44.0
35750M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,75.95316015538715,63.80065453052521,84.0
35750M66L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,101.24768674373628,15.18715301156044,15.0
35750M67P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,66.44677091389894,42.525933384895325,64.0
35750M75T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,71.69463100104497,41.58288598060608,58.0
3591075F12000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,81.63251671940088,26.122405350208282,32.0
36250M74T15000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,88.77064458867336,83.44440591335297,94.0
3625479P01000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,72.02611073203708,16.56600546836853,23.0
3625486R20000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,83.67654418945312,20.91913604736328,25.0
36410M67K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,64.02372412565278,52.49945378303528,82.0
38450M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,89.07800387768519,18.70638081431389,21.0
38450M74L10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,88.66619716991077,48.76640844345093,55.0
38450M76M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,55.10719323158264,27.55359661579132,50.0
38453M75000000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,119.01185035705566,59.50592517852783,50.0
3925164J00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,76.44930470664546,40.518131494522095,53.0
3932152R00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,79.25992480346135,22.192778944969177,28.0
39321M62S10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,54.2559304327335,28.755643129348755,53.0
3932252R00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,72.49012192090353,19.57233291864395,27.0
41710M74L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,103.25141775196995,29.94291114807129,29.0
4243163J10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,62.755126710150655,197.05109786987305,314.0
4321078R010BK,all_sku_history,erratic,chronos_2_erratic_features_plus_external,87.8661721944809,35.14646887779236,40.0
43210M55T5027N,all_sku_history,erratic,chronos_2_erratic_features_plus_external,57.89213211108477,45.15586304664612,78.0
43210M55T60QC8,all_sku_history,erratic,chronos_2_erratic_features_plus_external,57.05813063672308,96.42824077606201,169.0
43210M68P1009L,all_sku_history,erratic,chronos_2_erratic_features_plus_external,69.26461795965831,20.77938538789749,30.0
43210M68P60ZMQ,all_sku_history,erratic,chronos_2_erratic_features_plus_external,45.12091963379471,48.73059320449829,108.0
43210M75T60QC8,all_sku_history,erratic,chronos_2_erratic_features_plus_external,72.6529894556318,25.42854630947113,35.0
43210M79G5309L,all_sku_history,erratic,chronos_2_erratic_features_plus_external,54.35455854122455,42.39655566215515,78.0
43250M62S0027N,all_sku_history,erratic,chronos_2_erratic_features_plus_external,46.65269756317139,93.30539512634277,200.0
43250M67K0027N,all_sku_history,erratic,chronos_2_erratic_features_plus_external,73.01549036827313,123.39617872238159,169.0
43250M75T0027N,all_sku_history,erratic,chronos_2_erratic_features_plus_external,83.62202562134841,24.25038743019104,29.0
43250M81R1027N,all_sku_history,erratic,chronos_2_erratic_features_plus_external,85.79736139093127,24.023261189460754,28.0
43250M83P0027N,all_sku_history,erratic,chronos_2_erratic_features_plus_external,59.998547852928965,40.1990270614624,67.0
4325283S000PG,all_sku_history,erratic,chronos_2_erratic_features_plus_external,91.29257000667948,64.81772470474243,71.0
43252M67L00AQY,all_sku_history,erratic,chronos_2_erratic_features_plus_external,84.41203288864672,48.114858746528625,57.0
48150M68P10C48,all_sku_history,erratic,chronos_2_erratic_features_plus_external,118.0348155590204,15.344526022672653,13.0
5730065811000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,99.15335289267605,42.63594174385071,43.0
57300M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,74.32409458690219,20.067505538463593,27.0
57300M67P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,79.05652366186443,30.041478991508484,38.0
57300M74L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,65.37747737907227,54.917080998420715,84.0
57300M76M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,79.94094167436873,55.958659172058105,70.0
