model,mean_wmape,std_wmape,min_wmape,max_wmape,final_rolling_3m,num_months
xgboost,88.52927552859629,11.66843239684106,71.88760022248476,113.94113061655047,97.19232835542367,19
lightgbm,91.0784720989271,12.38160194504491,74.942342132121,119.61867885444117,97.03537507478741,19
random_forest,88.17641303395229,11.38934749526886,73.39770852150895,114.46309910577747,94.53614438676014,19
