month,wmape,rolling_3m_wmape
2024-10-01,64.61122846132277,
2024-11-01,72.32023264652635,
2024-12-01,76.70404958498574,71.21183689761162
2025-01-01,71.84847112337316,73.62425111829508
2025-02-01,82.0843008086548,76.87894050567122
2025-03-01,70.57543213072547,74.8360680209178
2025-04-01,61.21897061926135,71.29290118621387
2025-05-01,70.14950673214734,67.31463649404473
2025-06-01,79.47531859153176,70.28126531431349
2025-07-01,71.30307554780978,73.64263362382964
2025-08-01,72.87705070760472,74.55181494898208
2025-09-01,77.90711882669737,74.02908169403729
2025-10-01,67.67504449005907,72.81973800812038
2025-11-01,78.93979754128205,74.84065361934616
2025-12-01,62.30635861005904,69.64040021380005
2026-01-01,72.80898749655572,71.35171454929893
2026-02-01,72.15876414069234,69.0913700824357
2026-03-01,63.44620288284083,69.47131817336296
2026-04-01,73.87769669384069,69.82755457245796
