sku_id,actual_total,forecast_total,absolute_error,mean_absolute_error,block_naive_scale,wmape,mase
1161054G30000,0.0,0.5830615204619158,0.5830615204619158,0.5830615204619158,2.5714285714285716,,0.2267461468463006
11610M79F30000,0.0,0.6338001094355629,0.6338001094355629,0.6338001094355629,3.0,,0.2112667031451876
11620M65L10000,0.0,0.4959587743138597,0.4959587743138597,0.4959587743138597,2.4285714285714284,,0.2042183188351187
11620M76M00000,3.0,0.5696680092095336,2.4303319907904664,2.4303319907904664,1.4285714285714286,81.0110663596822,1.7012323935533264
11710M79F70000,3.0,0.756197392837701,2.2438026071622987,2.2438026071622987,1.0,74.7934202387433,2.2438026071622987
1776071L00000,1.0,0.5848704671559284,0.4151295328440716,0.4151295328440716,1.0,41.51295328440716,0.4151295328440716
1793161M10000,1.0,0.5945952692886902,0.4054047307113098,0.4054047307113098,2.4285714285714284,40.540473071130975,0.16693135970465697
1793165D00000,0.0,0.5184344021370084,0.5184344021370084,0.5184344021370084,2.142857142857143,,0.24193605433060394
3512065J12000,0.0,0.55140542651428,0.55140542651428,0.55140542651428,0.7142857142857143,,0.7719675971199921
35651M79G40000,0.0,0.5964885429703871,0.5964885429703871,0.5964885429703871,1.0,,0.5964885429703871
35750M68P00000,1.0,0.6136473119487151,0.38635268805128486,0.38635268805128486,0.7142857142857143,38.63526880512849,0.5408937632717988
3658054P00000,1.0,0.6725234518360327,0.3274765481639673,0.3274765481639673,1.0,32.74765481639673,0.3274765481639673
37736M79M00000,0.0,0.6156524530806886,0.6156524530806886,0.6156524530806886,2.0,,0.3078262265403443
3845065J10000,2.0,0.5868978040826436,1.4131021959173564,1.4131021959173564,4.428571428571429,70.65510979586782,0.3190875926264998
43110M75J80000-OP,0.0,0.9160237288276262,0.9160237288276262,0.9160237288276262,2.142857142857143,,0.4274777401195589
4321064J01ZBP,3.0,0.6254142552331803,2.3745857447668195,2.3745857447668195,0.42857142857142855,79.15285815889398,5.540700071122579
65500M75L00000,1.0,0.5863526317901298,0.41364736820987025,0.41364736820987025,0.8571428571428571,41.36473682098703,0.4825885962448486
68001M53M50000,0.0,0.615063988406885,0.615063988406885,0.615063988406885,1.2857142857142858,,0.4783831020942439
7173368L00000,2.0,0.8100767172298946,1.1899232827701054,1.1899232827701054,1.7142857142857142,59.49616413850527,0.6941219149492281
71751M50S005PK,0.0,0.7033062721936442,0.7033062721936442,0.7033062721936442,1.2857142857142858,,0.5470159894839455
7176160MB05PK,5.0,0.5870378769236898,4.41296212307631,4.41296212307631,1.2857142857142858,88.25924246152621,3.4323038735037965
71761M75L005PK,1.0,0.5282268976534482,0.4717731023465518,0.4717731023465518,0.42857142857142855,47.17731023465518,1.1008039054752876
71821M60M00000,3.0,0.5360622056708266,2.4639377943291736,2.4639377943291736,1.0,82.13125981097245,2.4639377943291736
72321M79G00000,1.0,0.5250844889253978,0.47491551107460217,0.47491551107460217,0.8571428571428571,47.49155110746022,0.5540680962537026
73410M74L105PK,1.0,0.6199886859871198,0.38001131401288024,0.38001131401288024,0.42857142857142855,38.00113140128802,0.8866930660300539
76295M53M10P4Z,0.0,0.571036990016105,0.571036990016105,0.571036990016105,1.2857142857142858,,0.44413988112363717
77250M79M100PG,0.0,0.5722571934991068,0.5722571934991068,0.5722571934991068,0.5714285714285714,,1.001450088623437
77831M79M000PG,2.0,0.5888739512635546,1.4111260487364454,1.4111260487364454,1.0,70.55630243682228,1.4111260487364454
7784161M00A93,0.0,0.5700788826353574,0.5700788826353574,0.5700788826353574,0.8571428571428571,,0.6650920297412504
7822565J105PK,0.0,0.5811132286290077,0.5811132286290077,0.5811132286290077,1.0,,0.5811132286290077
8285081A225PK,2.0,0.5706684656258638,1.4293315343741362,1.4293315343741362,0.8571428571428571,71.4665767187068,1.6675534567698256
83401M55R01000,0.0,0.6435823388788041,0.6435823388788041,0.6435823388788041,0.7142857142857143,,0.9010152744303257
8381173R00000,0.0,0.6411948809309489,0.6411948809309489,0.6411948809309489,2.0,,0.32059744046547445
84511M68K00000,1.0,0.5950350944843763,0.4049649055156237,0.4049649055156237,1.4285714285714286,40.49649055156237,0.2834754338609366
84901M56R63HLK,1.0,0.603061380590529,0.39693861940947095,0.39693861940947095,0.42857142857142855,39.693861940947095,0.9261901119554322
