date,year,month,avg_temperature,max_temperature,min_temperature,avg_precipitation_sum,avg_rain_sum,avg_snowfall_sum,avg_precipitation_hours,max_wind_speed,max_wind_gust,avg_rain_days,weather_locations,days_in_month,weekend_days,public_holidays,working_days,conaset_available_asof_year,conaset_available_expected5y_collisions,conaset_available_expected3y_collisions,conaset_available_last_collisions,conaset_available_expected5y_fatalities,conaset_available_expected3y_fatalities,conaset_available_last_fatalities,conaset_available_expected5y_total_injuries,conaset_available_expected3y_total_injuries,conaset_available_last_total_injuries,conaset_available_expected5y_serious_injuries,conaset_available_expected3y_serious_injuries,conaset_available_last_serious_injuries,conaset_available_expected5y_weekend_collision_share,conaset_available_expected3y_weekend_collision_share,conaset_available_last_weekend_collision_share,conaset_available_expected5y_weekend_fatality_share,conaset_available_expected3y_weekend_fatality_share,conaset_available_last_weekend_fatality_share,conaset_available_expected5y_night_collision_share,conaset_available_expected3y_night_collision_share,conaset_available_last_night_collision_share,conaset_available_expected5y_night_fatality_share,conaset_available_expected3y_night_fatality_share,conaset_available_last_night_fatality_share,conaset_available_expected5y_peak_collision_share,conaset_available_expected3y_peak_collision_share,conaset_available_last_peak_collision_share,conaset_available_expected5y_injuries_per_collision,conaset_available_expected3y_injuries_per_collision,conaset_available_last_injuries_per_collision,conaset_available_expected5y_fatalities_per_collision,conaset_available_expected3y_fatalities_per_collision,conaset_available_last_fatalities_per_collision,conaset_available_collision_yoy,mop_available_last_total_passages,mop_available_expected3y_total_passages,mop_available_last_light_passages,mop_available_expected3y_light_passages,mop_available_last_heavy_passages,mop_available_expected3y_heavy_passages,mop_available_last_light_share,mop_available_expected3y_light_share,mop_available_last_plazas_used,mop_available_expected3y_plazas_used,mop_available_last_yoy,mop_available_expected3y_yoy,mop_available_last_rolling3,mop_available_expected3y_rolling3,anac_available_last_market_units,anac_available_expected3y_market_units,anac_available_last_suzuki_top20_units,anac_available_expected3y_suzuki_top20_units,anac_available_last_suzuki_top20_model_count,anac_available_expected3y_suzuki_top20_model_count,anac_available_last_suzuki_top20_market_share,anac_available_expected3y_suzuki_top20_market_share,anac_available_last_fleet_proxy_age_0_12m,anac_available_expected3y_fleet_proxy_age_0_12m,anac_available_last_fleet_proxy_age_13_36m,anac_available_expected3y_fleet_proxy_age_13_36m,anac_available_last_fleet_proxy_age_37_60m,anac_available_expected3y_fleet_proxy_age_37_60m,cmf_available_damaged_insured_vehicles,cmf_available_insured_vehicles,cmf_available_claim_rate,cmf_available_repair_delay_days,cmf_available_report_age_months
2021-01-01,2021,1,17.036559139784945,31.3,3.6,36.56666666666667,36.55555555555556,0.0077777777777777,62.888888888888886,56.5,110.9,7.333333333333333,9.0,31,10,1,20,2019,7317.2,7440.0,7165.0,153.2,158.0,163.0,5393.0,5217.333333333333,4830.0,757.8,741.6666666666666,682.0,0.2712888989473794,0.2603178722700364,0.2535938590369853,0.3592351974123052,0.304493597288777,0.3496932515337423,0.1728081157461123,0.1732814124466208,0.1773900907187718,0.3425744456226871,0.3311551070688429,0.3006134969325153,0.3912502358013385,0.393599851741448,0.3914863921842288,0.7382637544161064,0.7007549551931257,0.6741102581995813,0.0209790863309986,0.0212648664585469,0.0227494766224703,-0.0513703164305573,224057.0,224057.0,174045.0,174045.0,50012.0,50012.0,0.7767889420995551,0.7767889420995551,4.0,4.0,0.5037959090767081,0.5037959090767081,224057.0,224057.0,24984.0,24984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100324.0,2002125.0,0.04790959605419242,76.0,1.0
2021-02-01,2021,2,17.377380952380953,32.2,4.2,9.122222222222222,9.122222222222222,0.0,24.77777777777778,59.8,115.6,4.444444444444445,9.0,28,8,0,20,2019,6772.2,6845.666666666667,6804.0,132.4,127.66666666666669,130.0,5246.0,5018.666666666667,4861.0,715.6,700.3333333333334,655.0,0.2876973771754962,0.2966386319555898,0.2905643738977072,0.3491929392604561,0.3523586024711305,0.3307692307692307,0.1707561004117024,0.1721564335413443,0.1690182245737801,0.3420911531301628,0.3426827860811356,0.2769230769230769,0.3848759682870236,0.3838176750796798,0.3837448559670782,0.7764975434341932,0.7331827230572833,0.7144326866549089,0.0196366285892181,0.0186576500219457,0.0191064079952968,0.0069557495930145,224057.0,224057.0,174045.0,174045.0,50012.0,50012.0,0.7767889420995551,0.7767889420995551,4.0,4.0,0.5037959090767081,0.5037959090767081,224057.0,224057.0,24984.0,24984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100324.0,2002125.0,0.04790959605419242,76.0,1.0
2021-03-01,2021,3,16.445519713261646,32.5,2.5,20.5,20.5,0.0,45.55555555555556,66.3,126.7,6.444444444444445,9.0,31,8,0,23,2019,7850.2,8159.333333333333,8199.0,130.0,125.0,131.0,5330.8,5307.666666666667,5234.0,748.2,733.6666666666666,727.0,0.2750012871279471,0.2910360858625196,0.2949140139041346,0.3793204821116666,0.4000718213904621,0.4961832061068702,0.1388137093188487,0.1428418230589981,0.141602634467618,0.3128294700456729,0.3170312457249172,0.3282442748091603,0.4319497031591607,0.4280640106637814,0.4345651908769362,0.6816548894079426,0.6504922770908631,0.6383705329918282,0.0166577783421895,0.0153176129907172,0.0159775582388096,0.0,224057.0,224057.0,174045.0,174045.0,50012.0,50012.0,0.7767889420995551,0.7767889420995551,4.0,4.0,0.5037959090767081,0.5037959090767081,224057.0,224057.0,24984.0,24984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100324.0,2002125.0,0.04790959605419242,76.0,1.0
2021-04-01,2021,4,14.46925925925926,29.3,1.8,41.55555555555556,41.55555555555556,0.0,66.22222222222223,52.5,101.2,8.11111111111111,9.0,30,8,2,21,2019,7526.4,7702.666666666667,7687.0,135.4,134.66666666666666,130.0,5006.6,4988.666666666667,4959.0,680.6,679.6666666666666,635.0,0.262625922686438,0.2677730372946957,0.2417067776765968,0.370562480344529,0.3465292806085644,0.3538461538461538,0.1343478086202232,0.1352248769307507,0.1304800312215428,0.2743766924048627,0.2717713729862067,0.2461538461538461,0.4345894574371977,0.4351018730815227,0.4499804865357096,0.6677634236579266,0.647637756669955,0.6451151294393132,0.0181039221084905,0.0174827638498626,0.0169116690516456,-0.0010396361273554,270489.0,224057.0,213527.0,174045.0,56962.0,50012.0,0.7894110296537012,0.7767889420995551,4.0,4.0,0.5037959090767081,0.5037959090767081,247273.0,224057.0,24492.0,24984.0,407.0,0.0,2.0,0.0,0.0166176710762698,0.0,398.86,0.0,0.0,0.0,0.0,0.0,100324.0,2002125.0,0.04790959605419242,76.0,1.0
2021-05-01,2021,5,12.699283154121863,24.6,-1.5,61.133333333333326,61.1,0.0311111111111111,94.77777777777776,46.4,90.7,10.0,9.0,31,10,2,20,2019,7873.2,8206.0,8184.0,135.0,130.33333333333334,132.0,5178.0,5182.333333333333,5093.0,711.2,719.3333333333334,675.0,0.2718889954229025,0.2583938939033772,0.2360703812316715,0.3501865834296936,0.3292372544341048,0.3484848484848485,0.1410184046155582,0.136035520026022,0.1319648093841642,0.232060287153791,0.2103515469657202,0.2196969696969697,0.4403909683571611,0.4454032005266171,0.4378054740957967,0.6601942905008491,0.6314687529668036,0.6223118279569892,0.01734290210912,0.0158863949029126,0.0161290322580645,0.006765899864682,231958.0,224057.0,161324.0,174045.0,70634.0,50012.0,0.6954879762715664,0.7767889420995551,4.0,4.0,0.5037959090767081,0.5037959090767081,242168.0,224057.0,24492.0,24984.0,306.0,0.0,1.0,0.0,0.0166176710762698,0.0,698.74,0.0,0.0,0.0,0.0,0.0,100324.0,2002125.0,0.04790959605419242,76.0,1.0
2021-06-01,2021,6,10.924814814814814,22.0,-3.5,78.8111111111111,77.3,1.0577777777777777,104.88888888888889,59.0,110.2,11.666666666666666,9.0,30,8,3,19,2019,7697.2,7992.333333333333,7955.0,142.4,137.0,152.0,4966.4,4973.666666666667,4963.0,667.8,648.6666666666666,632.0,0.2890694915189222,0.3116384282571593,0.3131363922061596,0.3566568448147394,0.3752088554720134,0.375,0.1409094748049675,0.1439859800411078,0.157762413576367,0.2606498360368329,0.2886382623224728,0.3421052631578947,0.4441231289546854,0.4442893215692686,0.4345694531741043,0.6475289009964195,0.6226327119362548,0.6238843494657448,0.0186868908776341,0.0171737408084657,0.0191074795725958,0.0332510715677361,186899.0,224057.0,123950.0,174045.0,62949.0,50012.0,0.663192419435096,0.7767889420995551,4.0,4.0,0.5037959090767081,0.5037959090767081,229782.0,224057.0,24492.0,24984.0,68.0,0.0,1.0,0.0,0.0166176710762698,0.0,765.38,0.0,0.0,0.0,0.0,0.0,100324.0,2002125.0,0.04790959605419242,76.0,1.0
2021-07-01,2021,7,9.966666666666669,23.3,-2.1,41.65555555555555,39.54444444444445,1.4855555555555555,85.33333333333333,45.5,92.9,9.77777777777778,9.0,31,9,1,21,2020,6925.8,6318.0,4177.0,128.6,124.33333333333331,91.0,4411.6,3953.6666666666665,2355.0,620.4,556.3333333333334,380.0,0.2822284243176248,0.260033028945606,0.2307876466363418,0.3621824790790308,0.3480396147062813,0.3626373626373626,0.1365285009119047,0.1257696722680049,0.0945654776155135,0.2885917129759494,0.2721863674244626,0.2307692307692307,0.4250964420929845,0.4275850738085977,0.425664352406033,0.6302278215009712,0.616719590659068,0.5638017716064161,0.018882700992262,0.0199790348539191,0.0217859707924347,-0.4436600958977091,216459.0,224057.0,159662.0,174045.0,56797.0,50012.0,0.7376085078467516,0.7767889420995551,4.0,4.0,0.5037959090767081,0.5037959090767081,211772.0,224057.0,34130.0,24984.0,0.0,0.0,0.0,0.0,0.0,0.0,765.38,0.0,0.0,0.0,0.0,0.0,100324.0,2002125.0,0.04790959605419242,76.0,1.0
2021-08-01,2021,8,10.293548387096774,23.8,-1.5,80.30000000000001,78.46666666666667,1.291111111111111,129.33333333333334,58.6,119.9,12.77777777777778,9.0,31,9,1,22,2020,7040.4,6561.333333333333,4834.0,120.6,118.33333333333331,104.0,4349.4,4035.3333333333335,3131.0,592.8,557.0,506.0,0.269142037755933,0.2728251300044575,0.2987174182871328,0.3716827075702075,0.3911725681725682,0.4326923076923077,0.1290929994057841,0.1281305161257482,0.1023996690111708,0.2486801434676435,0.232001628001628,0.1538461538461538,0.4390776747129521,0.4340695310136902,0.4164253206454282,0.6201144325380579,0.6189717829385081,0.6477037649979314,0.0174672834673092,0.0184436952062278,0.0215142738932561,-0.3623532515499275,223349.0,224057.0,164538.0,174045.0,58811.0,50012.0,0.7366856354852719,0.7767889420995551,4.0,4.0,0.5037959090767081,0.5037959090767081,208902.33333333334,224057.0,34130.0,24984.0,977.0,0.0,2.0,0.0,0.0,0.0,1722.84,0.0,0.0,0.0,0.0,0.0,100324.0,2002125.0,0.04790959605419242,76.0,1.0
2021-09-01,2021,9,11.349629629629629,28.6,-1.3,44.13333333333333,43.266666666666666,0.6066666666666667,92.33333333333331,54.0,107.6,11.555555555555555,9.0,30,8,2,22,2020,6724.0,6317.0,4977.0,120.4,106.66666666666669,103.0,4249.2,3822.3333333333335,3220.0,581.0,527.3333333333334,526.0,0.2958849093624475,0.2793862465351681,0.2332730560578662,0.3642283910388603,0.3542075321768634,0.2524271844660194,0.1450863797172442,0.1459183997286713,0.1185453084187261,0.3112251249656442,0.3395399416540874,0.2912621359223301,0.4096327198247435,0.4039292733368078,0.4068716094032549,0.6322853365875438,0.6092777206096575,0.6469760900140648,0.0180624593379494,0.017272388607503,0.0206951979103877,-0.3144628099173554,265201.0,224057.0,203225.0,174045.0,61976.0,50012.0,0.7663055569172061,0.7767889420995551,4.0,4.0,0.5037959090767081,0.5037959090767081,235003.0,224057.0,34130.0,24984.0,1312.0,0.0,2.0,0.0,0.0,0.0,3008.6000000000004,0.0,0.0,0.0,0.0,0.0,100324.0,2002125.0,0.04790959605419242,76.0,1.0
2021-10-01,2021,10,12.538351254480286,31.0,0.8,27.577777777777776,25.9,1.1744444444444446,75.77777777777777,55.3,104.4,12.11111111111111,9.0,31,10,2,20,2020,6949.2,6517.666666666667,5774.0,117.0,114.66666666666669,129.0,4492.6,4075.3333333333335,3764.0,612.4,563.6666666666666,556.0,0.2663736547636154,0.2451021169737749,0.2590924835469345,0.3525190743554093,0.3459868958216476,0.4341085271317829,0.1382382017436208,0.1338024701139354,0.1319709040526498,0.3008032230698126,0.2858713767458001,0.2635658914728682,0.4174927969164687,0.4146151206479557,0.400415656390717,0.6458238044782357,0.626694092978131,0.6518877727745064,0.0170750504057298,0.017869339292711,0.0223415310010391,-0.1403900550841149,266570.0,224057.0,206807.0,174045.0,59763.0,50012.0,0.7758074802115767,0.7767889420995551,4.0,4.0,0.5037959090767081,0.5037959090767081,251706.66666666666,224057.0,34130.0,24984.0,1043.0,0.0,2.0,0.0,0.0,0.0,4030.74,0.0,0.0,0.0,0.0,0.0,100324.0,2002125.0,0.04790959605419242,76.0,1.0
