demand_type,date,model,actual,forecast
lumpy,2025-08-01,Internal only,366.0,403.09425
lumpy,2025-09-01,Internal + external,397.0,677.2915752104517
lumpy,2025-09-01,Internal only,397.0,735.275
lumpy,2025-10-01,Internal + external,694.0,887.6965455765584
lumpy,2025-10-01,Internal only,694.0,1019.6010645279913
lumpy,2025-11-01,Internal + external,672.0,596.1549510028698
lumpy,2025-11-01,Internal only,672.0,631.44
lumpy,2025-12-01,Internal + external,514.0,684.2001697489868
lumpy,2025-12-01,Internal only,514.0,725.161244321468
lumpy,2026-01-01,Internal + external,572.0,761.3557005812316
lumpy,2026-01-01,Internal only,572.0,754.144580492304
lumpy,2026-02-01,Internal + external,476.0,572.5031201925312
lumpy,2026-02-01,Internal only,476.0,567.5617816036765
lumpy,2026-03-01,Internal + external,441.0,460.11228110567095
lumpy,2026-03-01,Internal only,441.0,507.9661523439668
lumpy,2026-04-01,Internal + external,681.0,1323.5313877253673
lumpy,2026-04-01,Internal only,681.0,1676.9096381574245
smooth,2024-11-01,Internal + external,5008.0,6096.577272873514
smooth,2024-11-01,Internal only,5008.0,6189.659142511314
smooth,2024-12-01,Internal + external,4336.0,5011.508975927282
smooth,2024-12-01,Internal only,4336.0,5468.2586405147385
smooth,2025-01-01,Internal + external,5541.0,6076.231750959063
smooth,2025-01-01,Internal only,5541.0,6505.786815752763
smooth,2025-02-01,Internal + external,4621.0,4690.143809959956
smooth,2025-02-01,Internal only,4621.0,4838.761109803913
smooth,2025-03-01,Internal + external,4554.0,8506.396817532372
smooth,2025-03-01,Internal only,4554.0,9601.863641165028
smooth,2025-04-01,Internal + external,4926.0,6553.644162788708
smooth,2025-04-01,Internal only,4926.0,6705.814055663828
smooth,2025-05-01,Internal + external,4791.0,9463.080135703272
smooth,2025-05-01,Internal only,4791.0,9164.814630542542
smooth,2025-06-01,Internal + external,5105.0,7534.830388686181
smooth,2025-06-01,Internal only,5105.0,7422.583988009159
smooth,2025-07-01,Internal + external,4958.0,7471.613123735594
smooth,2025-07-01,Internal only,4958.0,7686.876627422634
smooth,2025-08-01,Internal + external,4344.0,7622.1179401568625
smooth,2025-08-01,Internal only,4344.0,7750.343284600872
smooth,2025-09-01,Internal + external,4063.0,8047.488703865659
smooth,2025-09-01,Internal only,4063.0,8145.7218612854185
