demand_type,Internal + external,Internal only,external_improvement_points,external_improved
erratic,72.50429196202725,80.4444921109403,7.94020014891305,True
intermittent,39.1978347461638,43.04119994704511,3.8433652008813084,True
lumpy,63.769054784319856,69.42351741568315,5.654462631363295,True
smooth,86.37841601641328,88.54347689639577,2.165060879982491,True
