sku_id,history_months,history_total_demand,positive_months,positive_months_last12,positive_blocks_last18,months_since_positive,positive_mean,positive_median,positive_cv2,average_demand_interval,recent_3m_total,recent_6m_total,recent_12m_total,recent_vs_prior_6m_ratio,stock_observation_share,potential_stock_constraint_share,trailing_12m_units,trailing_12m_value,FAMILY_DESCRIPTION,SUBFAMILY_DESCRIPTION,MATERIAL_DESCRIPTION,Brand,Channel,REGION,lifecycle_tier,frequency_tier,recency_tier,size_tier,potential_stock_status,abc_units_tier,abc_value_tier,classification_cutoff,product_master_assumption
83924M74T000CB,5,2.0,2,2,2,1.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,3.0,0.4,,2.0,30236.0,CARROCERIA,IMPACTO PRIMARIO,OPACADOR PUERTA DEL IZQ,SUZUKI,DISTRIBUTION,AMERICAS,new,occasional_2_3,recent_0_2,mostly_single_unit,stock_generally_available,C,C,2024-07-01,True
83924M76T100CB,6,1.0,1,1,1,5.0,1.0,1.0,0.0,6.0,0.0,1.0,1.0,2.0,0.16666666666666666,,1.0,6126.0,CARROCERIA,ESTRUCTURA,OPACADOR PUERTA DEL IZQ,SUZUKI,DISTRIBUTION,AMERICAS,new,rare_0_1,recent_3_5,mostly_single_unit,stock_data_limited,C,C,2024-07-01,True
83932M75T000CB,0,0.0,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,CARROCERIA,IMPACTO PRIMARIO A,OPACADOR PUERTA TRAS IZQ DEL,SUZUKI,DISTRIBUTION,AMERICAS,cold_start,rare_0_1,no_history,no_history,stock_data_limited,C,C,2024-07-01,True
83934M75T000CB,0,0.0,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,CARROCERIA,IMPACTO PRIMARIO A,OPACADOR PUERTA TRAS IZQ TRAS,SUZUKI,DISTRIBUTION,AMERICAS,cold_start,rare_0_1,no_history,no_history,stock_data_limited,C,C,2024-07-01,True
8394068L50000,43,61.0,30,6,5,3.0,2.033333333333333,2.0,0.459285138403655,1.3448275862068966,0.0,3.0,9.0,0.5714285714285714,0.7209302325581395,1.0,9.0,606573.0,CARROCERIA,ESTRUCTURA,MOLDURA PORTALON,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_3_5,multi_unit_stable,potentially_stock_constrained,A,B,2024-07-01,True
83940M55T010PG,22,32.0,13,9,5,1.0,2.4615384615384617,2.0,0.5234374999999999,1.6666666666666667,9.0,14.0,22.0,1.6666666666666667,0.6363636363636364,1.0,22.0,0.0,CARROCERIA,IMPACTO PRIMARIO,MOLDURA PORTALON SUP,SUZUKI,DISTRIBUTION,AMERICAS,developing,recurring_4_6,recent_0_2,multi_unit_stable,potentially_stock_constrained,A,C,2024-07-01,True
83940M74L00000,41,17.0,12,3,3,2.0,1.4166666666666667,1.0,0.6193771626297574,3.4545454545454546,1.0,3.0,3.0,4.0,0.2926829268292683,,3.0,49638.0,CARROCERIA,IMPACTO PRIMARIO,MOLDURA PORTALON [GA],SUZUKI,DISTRIBUTION,AMERICAS,established,occasional_2_3,recent_0_2,mostly_single_unit,stock_generally_available,C,C,2024-07-01,True
83940M74T01ZHJ,1,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,CARROCERIA,IMPACTO PRIMARIO,GARNISH PORTALON TRAS,SUZUKI,DISTRIBUTION,AMERICAS,new,rare_0_1,recent_0_2,mostly_single_unit,potentially_stock_constrained,C,C,2024-07-01,True
83943M68P00000,40,46.0,18,1,3,3.0,2.5555555555555554,1.0,0.8374291115311909,2.1176470588235294,0.0,1.0,1.0,2.0,0.475,1.0,1.0,916.0,CARROCERIA,ESTRUCTURA,BISEL CAMARA RETROCESO,SUZUKI,DISTRIBUTION,AMERICAS,established,occasional_2_3,recent_3_5,mostly_single_unit,potentially_stock_constrained,C,C,2024-07-01,True
83970M55T00000,13,1.0,1,0,1,12.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,1.0,0.07692307692307693,,0.0,0.0,CARROCERIA,ESTRUCTURA,BASE SWITCH PORTALON TRAS,SUZUKI,DISTRIBUTION,AMERICAS,developing,rare_0_1,dormant_12_plus,mostly_single_unit,stock_data_limited,C,C,2024-07-01,True
8450162R02000,41,13.0,9,2,2,2.0,1.4444444444444444,1.0,0.43786982248520706,4.75,2.0,3.0,3.0,4.0,0.24390243902439024,1.0,3.0,383925.0,CARROCERIA,IMPACTO PRIMARIO,VIDRIO PTA DEL DER,SUZUKI,DISTRIBUTION,AMERICAS,established,occasional_2_3,recent_0_2,mostly_single_unit,stock_data_limited,C,B,2024-07-01,True
8450171L02000,42,14.0,8,2,3,1.0,1.75,1.0,0.8775510204081632,5.714285714285714,1.0,1.0,2.0,1.0,0.21428571428571427,1.0,2.0,507371.0,CARROCERIA,IMPACTO PRIMARIO,VIDRIO PUERTA DEL DER,SUZUKI,DISTRIBUTION,AMERICAS,established,occasional_2_3,recent_0_2,mostly_single_unit,stock_data_limited,C,B,2024-07-01,True
84501M56R00000,43,85.0,35,11,6,1.0,2.4285714285714284,2.0,0.6131487889273357,1.2058823529411764,4.0,7.0,17.0,0.7272727272727273,0.813953488372093,,17.0,998970.0,CARROCERIA,IMPACTO PRIMARIO,VIDRIO PTA DEL DER SZK DZIRE A2N,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_0_2,multi_unit_stable,stock_generally_available,A,B,2024-07-01,True
8450373R00000,41,29.0,17,3,5,1.0,1.7058823529411764,1.0,0.5969084423305588,2.4375,1.0,1.0,5.0,0.4,0.4634146341463415,1.0,5.0,340195.0,CARROCERIA,IMPACTO PRIMARIO,VIDRIO PUERTA TRAS DER [ARK415],SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_0_2,mostly_single_unit,potentially_stock_constrained,B,B,2024-07-01,True
84503M62S00000,43,93.0,31,8,6,1.0,3.0,2.0,0.43727598566308246,1.3666666666666667,6.0,7.0,17.0,0.7272727272727273,0.7209302325581395,,17.0,874923.0,CARROCERIA,IMPACTO PRIMARIO,VIDRIO PUERTA TRAS DER,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_0_2,multi_unit_stable,stock_generally_available,A,B,2024-07-01,True
84503M80T20000,0,0.0,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,CARROCERIA,IMPACTO PRIMARIO B,VIDRIO PUERTA TRAS DER,SUZUKI,DISTRIBUTION,AMERICAS,cold_start,rare_0_1,no_history,no_history,stock_data_limited,C,C,2024-07-01,True
84504M68P00000,41,75.0,31,9,6,0.0,2.4193548387096775,2.0,1.0776888888888883,1.3333333333333333,2.0,5.0,13.0,0.6666666666666666,0.8048780487804879,1.0,13.0,757770.0,CARROCERIA,IMPACTO PRIMARIO,VIDRIO PTA TRAS IZQ [GL],SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_0_2,volatile_positive_size,potentially_stock_constrained,A,B,2024-07-01,True
8451061M02000,43,88.0,35,9,6,1.0,2.5142857142857142,2.0,0.681301652892562,1.2058823529411764,3.0,5.0,15.0,0.5454545454545454,0.9069767441860465,1.0,15.0,3539550.0,CARROCERIA,IMPACTO PRIMARIO,PARABRISA GA-GL,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_0_2,multi_unit_stable,potentially_stock_constrained,A,A,2024-07-01,True
