candidate_id,config_id,temperature,decay,shrink,neighbor_weight,top_k,memory_weight,shift_threshold,shift_decay,neighbors,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,abs_bias
temp6.00__decay0.50__shrink6.0__peer0.00__top4__memory1.00,temp6.00__decay0.50__shrink6.0__peer0.00__top4__memory1.00,6.0,0.5,6.0,0.0,4.0,1.0,0.75,0.25,12,35,35,6,12,27,81.3418723742522,92.57758403186588,0.29896393133034077,83.28512953023161,139.0,119.0755748566695,-14.334118808151436,14.334118808151436
temp1.00__decay1.00__shrink6.0__peer0.00__top4__memory1.00,temp1.00__decay1.00__shrink6.0__peer0.00__top4__memory1.00,1.0,1.0,6.0,0.0,4.0,1.0,0.75,0.25,12,35,35,6,12,26,75.89452469074945,102.18056392102596,0.3135388239625739,82.44821458303812,139.0,121.34676738914153,-12.700167345941344,12.700167345941344
temp3.00__decay1.00__shrink6.0__peer0.00__top4__memory1.00,temp3.00__decay1.00__shrink6.0__peer0.00__top4__memory1.00,3.0,1.0,6.0,0.0,4.0,1.0,0.75,0.25,12,35,35,6,12,26,76.0640061211558,101.96884906796558,0.3142215786664922,82.41476847040366,139.0,120.99084220982998,-12.956228626021598,12.956228626021598
temp6.00__decay1.00__shrink6.0__peer0.00__top4__memory1.00,temp6.00__decay1.00__shrink6.0__peer0.00__top4__memory1.00,6.0,1.0,6.0,0.0,4.0,1.0,0.75,0.25,12,35,35,6,12,26,76.31524838361514,101.65708812571242,0.31524285908559097,82.36555816663787,139.0,120.4712056482275,-13.330067878973024,13.330067878973024
temp1.00__decay1.00__shrink6.0__peer0.00__top4__memory0.75,temp1.00__decay1.00__shrink6.0__peer0.00__top4__memory0.75,1.0,1.0,6.0,0.0,4.0,0.75,0.75,0.25,12,35,35,6,12,26,78.95248055837519,108.51904579366291,0.32190980571589095,83.24503852494493,139.0,127.01692490968327,-8.620917331163117,8.620917331163117
temp3.00__decay1.00__shrink6.0__peer0.35__top4__memory1.00,temp3.00__decay1.00__shrink6.0__peer0.35__top4__memory1.00,3.0,1.0,6.0,0.35,4.0,1.0,0.75,0.25,12,35,35,6,12,26,79.1600147948121,100.46623181679485,0.3263885231874728,81.00067973979236,139.0,119.37047837118453,-14.121958006342064,14.121958006342064
temp3.00__decay1.00__shrink6.0__peer0.00__top4__memory0.75,temp3.00__decay1.00__shrink6.0__peer0.00__top4__memory0.75,3.0,1.0,6.0,0.0,4.0,0.75,0.75,0.25,12,35,35,6,12,26,79.16575289250231,108.39459816141641,0.3224218717438297,83.20308017573693,139.0,126.74998102519962,-8.812963291223296,8.812963291223296
temp1.00__decay1.00__shrink6.0__peer0.35__top4__memory1.00,temp1.00__decay1.00__shrink6.0__peer0.35__top4__memory1.00,1.0,1.0,6.0,0.35,4.0,1.0,0.75,0.25,12,35,35,6,12,26,79.39128882630742,100.61570196054821,0.32625607103411775,81.06200872540654,139.0,119.56150859160708,-13.984526193088431,13.984526193088431
temp1.00__decay0.80__shrink6.0__peer0.35__top4__memory1.00,temp1.00__decay0.80__shrink6.0__peer0.35__top4__memory1.00,1.0,0.8,6.0,0.35,4.0,1.0,0.75,0.25,12,35,35,6,12,26,79.39579042215026,100.2957831193908,0.3134450797254064,80.74041650052789,139.0,118.79716793864354,-14.534411554932705,14.534411554932705
temp6.00__decay1.00__shrink6.0__peer0.00__top4__memory0.75,temp6.00__decay1.00__shrink6.0__peer0.00__top4__memory0.75,6.0,1.0,6.0,0.0,4.0,0.75,0.75,0.25,12,35,35,6,12,26,79.47647845371058,108.21322769280508,0.3231878320581538,83.14127211712896,139.0,126.36025360399776,-9.093342730936861,9.093342730936861
temp3.00__decay0.80__shrink6.0__peer0.35__top4__memory1.00,temp3.00__decay0.80__shrink6.0__peer0.35__top4__memory1.00,3.0,0.8,6.0,0.35,4.0,1.0,0.75,0.25,12,35,35,6,12,26,79.6417876674541,100.17736053105523,0.31394035068015286,80.69306352264532,139.0,118.61151494585714,-14.667974859095583,14.667974859095583
temp1.00__decay0.50__shrink6.0__peer0.35__top4__memory1.00,temp1.00__decay0.50__shrink6.0__peer0.35__top4__memory1.00,1.0,0.5,6.0,0.35,4.0,1.0,0.75,0.25,12,35,35,6,12,26,79.83285163365584,98.06143904015124,0.2990945369806741,80.5900721953148,139.0,118.13917537744851,-15.007787498238482,15.007787498238482
temp3.00__decay0.50__shrink6.0__peer0.35__top4__memory1.00,temp3.00__decay0.50__shrink6.0__peer0.35__top4__memory1.00,3.0,0.5,6.0,0.35,4.0,1.0,0.75,0.25,12,35,35,6,12,26,79.92444762428654,97.9204138088585,0.29951467573694035,80.55083228097,139.0,117.90558868626903,-15.175835477504295,15.175835477504295
temp6.00__decay0.50__shrink6.0__peer0.35__top4__memory1.00,temp6.00__decay0.50__shrink6.0__peer0.35__top4__memory1.00,6.0,0.5,6.0,0.35,4.0,1.0,0.75,0.25,12,35,35,6,12,26,80.06096210676135,97.71588202920623,0.3001288488087922,80.48642550301959,139.0,117.56841772098306,-15.418404517278374,15.418404517278374
temp6.00__decay1.00__shrink6.0__peer0.35__top4__memory0.75,temp6.00__decay1.00__shrink6.0__peer0.35__top4__memory0.75,6.0,1.0,6.0,0.35,4.0,0.75,0.75,0.25,12,35,35,6,12,26,80.15602890483792,104.071757514892,0.3252043642613752,82.20331005888858,139.0,125.32621454673908,-9.837255721770445,9.837255721770445
