sku_id,abc_units_tier
81850M74L00000,B
81850M79G20000,A
8211065J01000,A
82280M79811000,A
82302M68P15000,A
82510M60M51000,B
82570M53810000,A
82570M53M00000,B
82651M74K00000,A
82811M75J00000,B
8281257LA0ZNL,B
82814M75J00000,B
8285081A225PK,C
82960M60G005ES,A
82960M60G00P4Z,A
8298265D00P4Z,A
82982M65D00000,A
82982M65D005PK,A
83401M55R01000,C
83402M79G50000,A
8366152R01000,B
83661M68P01000,A
83665M68P01000,B
8381152R02000,B
8381165J00000,B
8381173R00000,C
8381180J00000,B
83811M68P00000,A
83811M79G11000,A
8382165J00000,B
83821M74L01000,A
83821M79G11000,A
8383165J00000,B
83831M79G00000,A
8384165J00000,B
83841M79G01000,A
8392165J010CB,A
8392471L200CE,B
8394068L50000,A
84501M56R00000,A
8450373R00000,B
84503M62S00000,A
84504M68P00000,A
8451061M02000,A
84511M53M00000,A
84511M68K00000,C
8454154P01000,A
84541M56R00000,A
84570M62S10000,A
84570M67P10000,B
8458065J02000,A
84611M76M00000,A
8470161LVBZJ3,A
8470181A015PK,B
84701M56R50ZHJ,A
84701M68K1026U,A
84701M79G30000,A
84701M84330000,A
84702M67P30000,A
84702M67P4026U,A
84702M68K1026U,A
84702M74L215PK,A
84702M84320000,A
84730M56R00000,A
84730M67P00000,A
84730M74L20000,A
84740M74L20000,A
8485177K006GS,A
84901M56R63HLK,C
84901M62S51BHE,A
84902M62S43BHE,A
85355M68PA1000,A
87286M81P00000,B
87491M68P105PK,A
87991M68P105PK,A
88921M68P01000,A
8926050J00000,B
89969M52R00000,A
89969M63J00000,A
9531071L01000,A
95310M68K00000,A
