sku_id,actual_total,forecast_total,absolute_error,mean_absolute_error,block_naive_scale,wmape,mase,cohort,strategy
1161054G30000,0.0,0.2756172080962117,0.2756172080962117,0.2756172080962117,2.1,,0.1312462895696246,established_recurring_c,best_single
11610M79F30000,0.0,0.3972548306117868,0.3972548306117868,0.3972548306117868,4.090909090909091,,0.0971067363717701,established_recurring_c,best_single
11620M65L10000,0.0,0.34936643135722223,0.34936643135722223,0.34936643135722223,4.454545454545454,,0.07842919887611112,established_recurring_c,best_single
11620M76M00000,3.0,0.3222395591700601,2.67776044082994,2.67776044082994,2.3636363636363638,89.25868136099798,1.132898648043436,established_recurring_c,best_single
11710M79F70000,3.0,0.4506562712929242,2.549343728707076,2.549343728707076,2.1818181818181817,84.97812429023587,1.1684492089907432,established_recurring_c,best_single
1776071L00000,1.0,0.4433196092650903,0.5566803907349097,0.5566803907349097,1.5454545454545454,55.668039073490974,0.3602049587108239,established_recurring_c,best_single
1793161M10000,1.0,0.2938664627455651,0.7061335372544348,0.7061335372544348,2.4545454545454546,70.61335372544349,0.28768403369625123,established_recurring_c,best_single
1793165D00000,0.0,0.2762072245861341,0.2762072245861341,0.2762072245861341,2.727272727272727,,0.10127598234824918,established_recurring_c,best_single
3512065J12000,0.0,0.264956191161686,0.264956191161686,0.264956191161686,1.3,,0.20381245473975845,established_recurring_c,best_single
35651M79G40000,0.0,0.2785895646549998,0.2785895646549998,0.2785895646549998,2.5454545454545454,,0.10944590040017849,established_recurring_c,best_single
35750M68P00000,1.0,0.40198744941546805,0.598012550584532,0.598012550584532,1.5454545454545454,59.801255058453194,0.3869492974370501,established_recurring_c,best_single
3658054P00000,1.0,0.44539580842373766,0.5546041915762623,0.5546041915762623,1.2222222222222223,55.46041915762623,0.45376706583512366,established_recurring_c,best_single
37736M79M00000,0.0,0.3392686294161227,0.3392686294161227,0.3392686294161227,1.8181818181818181,,0.18659774617886749,established_recurring_c,best_single
3845065J10000,2.0,0.17811281792014927,1.8218871820798508,1.8218871820798508,3.272727272727273,91.09435910399255,0.5566877500799544,established_recurring_c,best_single
43110M75J80000-OP,0.0,0.4178566917164791,0.4178566917164791,0.4178566917164791,2.142857142857143,,0.19499978946769025,established_recurring_c,best_single
4321064J01ZBP,3.0,0.4471432715267041,2.552856728473296,2.552856728473296,0.6363636363636364,85.0952242824432,4.011632001886609,established_recurring_c,best_single
65500M75L00000,1.0,0.36118095501988073,0.6388190449801192,0.6388190449801192,1.0,63.88190449801192,0.6388190449801192,established_recurring_c,best_single
68001M53M50000,0.0,0.3543064357039607,0.3543064357039607,0.3543064357039607,2.1818181818181817,,0.16239044969764865,established_recurring_c,best_single
7173368L00000,2.0,0.5350763918883503,1.4649236081116497,1.4649236081116497,1.7272727272727273,73.24618040558248,0.8481136678541129,established_recurring_c,best_single
71751M50S005PK,0.0,0.42720112785231656,0.42720112785231656,0.42720112785231656,1.3636363636363635,,0.31328082709169885,established_recurring_c,best_single
7176160MB05PK,5.0,0.2622467208652634,4.737753279134736,4.737753279134736,1.3636363636363635,94.75506558269473,3.474352404698807,established_recurring_c,best_single
71761M75L005PK,1.0,0.3349728699409582,0.6650271300590418,0.6650271300590418,1.6363636363636365,66.50271300590418,0.4064054683694144,established_recurring_c,best_single
71821M60M00000,3.0,0.25166951130954385,2.7483304886904563,2.7483304886904563,2.272727272727273,91.61101628968187,1.2092654150238007,established_recurring_c,best_single
72321M79G00000,1.0,0.3873606341466965,0.6126393658533035,0.6126393658533035,1.1818181818181819,61.26393658533035,0.518387155722026,established_recurring_c,best_single
73410M74L105PK,1.0,0.2923776744748322,0.7076223255251678,0.7076223255251678,0.8181818181818182,70.76223255251678,0.8648717311974272,established_recurring_c,best_single
76295M53M10P4Z,0.0,0.4161836705567074,0.4161836705567074,0.4161836705567074,1.1818181818181819,,0.3521554135479832,established_recurring_c,best_single
77250M79M100PG,0.0,0.3544028901351559,0.3544028901351559,0.3544028901351559,1.4545454545454546,,0.24365198696791968,established_recurring_c,best_single
77831M79M000PG,2.0,0.2982295173475965,1.7017704826524036,1.7017704826524036,1.2727272727272727,85.08852413262018,1.3371053792268885,established_recurring_c,best_single
7784161M00A93,0.0,0.3794289457014944,0.3794289457014944,0.3794289457014944,1.5454545454545454,,0.24551284721861402,established_recurring_c,best_single
7822565J105PK,0.0,0.32005057154446404,0.32005057154446404,0.32005057154446404,1.1818181818181819,,0.27081202207608496,established_recurring_c,best_single
8285081A225PK,2.0,0.33999722190867626,1.6600027780913238,1.6600027780913238,2.0,83.00013890456619,0.8300013890456619,established_recurring_c,best_single
83401M55R01000,0.0,0.29733784460832124,0.29733784460832124,0.29733784460832124,0.875,,0.33981467955236716,established_recurring_c,best_single
8381173R00000,0.0,0.2999044140281299,0.2999044140281299,0.2999044140281299,1.6363636363636365,,0.18327491968385715,established_recurring_c,best_single
84511M68K00000,1.0,0.4459477572586014,0.5540522427413985,0.5540522427413985,1.4545454545454546,55.405224274139854,0.38091091688471146,established_recurring_c,best_single
84901M56R63HLK,1.0,0.41169535110196387,0.5883046488980361,0.5883046488980361,1.0,58.830464889803615,0.5883046488980361,established_recurring_c,best_single
