cohort,strategy,detail,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,underlying,candidate_id,abs_bias
recurring_a,subgroup_router,size_volatility,215,215,98,148,190,52.784390449523926,79.51915770563619,0.38000533309928924,61.07309659467615,1725.0,1292.9688086923647,-25.045286452616537,8.0,recurring_a__subgroup_router,25.045286452616537
recurring_b,subgroup_router,size_volatility,110,104,38,56,69,66.78918788251931,112.59470889517361,0.29643633317069107,75.6542520597226,274.0,268.10915888772473,-2.149942011779295,8.0,recurring_b__subgroup_router,2.149942011779295
