cohort,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct
recurring_a,215,213,36,111,178,68.570867744652,82.60614701679775,0.34380240616975005,76.72720992806401,4299.0,2707.362456679344,-37.02343669040837
recurring_b,110,110,14,40,80,78.25474802185508,102.9582195196833,0.3246272141345635,82.07704202287475,1023.0,603.7986783385277,-40.97764630121919
combined,325,323,50,151,258,71.40714696475438,88.01835867491636,0.33715538355125774,77.75555984031344,5322.0,3311.161135017872,-37.783518695643146
