sku_id,selected_model_key,selected_model,score,policy
84611M76M00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,48.66443713506063,required_18m_gap3
84641M77G00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,380.516160428524,required_18m_gap3
8470161LVBZJ3,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,78.5714265373018,required_18m_gap3
8470178R005PK,block_recent6,Block recent 6-month mean,115.99999999999999,required_18m_gap3
8470181A015PK,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,128.0336715158869,required_18m_gap3
84701M53M005PK,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,94.7027278913034,required_18m_gap3
84701M55TG0ZHJ,block_hurdle_d2_sqrt_log,Block hurdle XGB depth2 sqrt-weight log-size,73.22572737228214,required_18m_gap3
84701M56R50ZHJ,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,41.69543359590613,required_18m_gap3
84701M67P30000,block_recent6,Block recent 6-month mean,108.51063829787235,required_18m_gap3
84701M68K1026U,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,100.66064919455577,required_18m_gap3
84701M79G30000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,62.68968594074249,required_18m_gap3
84701M84330000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,77.15039211553294,required_18m_gap3
8470277A005PK,block_recent6,Block recent 6-month mean,171.42857142857142,required_18m_gap3
8470281A215PK,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
