sku_id,selected_model_key,selected_model,score,policy
7182263J00000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,75.09187722206116,required_18m_gap3
71831M76T00000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,71.50853598440015,required_18m_gap3
7183263J00000,block_recent6,Block recent 6-month mean,200.0,required_18m_gap3
7185160G00000,block_hurdle_d2_sqrt_log,Block hurdle XGB depth2 sqrt-weight log-size,47.87942635385614,required_18m_gap3
7185261J01000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,43.67643987076192,required_18m_gap3
7187161M005PK,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,79.16324019432068,required_18m_gap3
7211062R00ES5,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,41.06362440237185,required_18m_gap3
7211157M005PK,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,52.29805378537429,required_18m_gap3
72111M8440009E,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,167.0811641216278,required_18m_gap3
72111M8450009E,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,138.39656032364945,required_18m_gap3
7211254GB0Z2S,block_recent6,Block recent 6-month mean,104.16666666666667,required_18m_gap3
7211281A005PK,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,87.19865241737077,required_18m_gap3
72211M60M005PK,block_recent6,Block recent 6-month mean,inf,required_18m_gap3
72221M56R005PK,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,38.55224669664756,required_18m_gap3
72311M68P01000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,42.98001673986327,required_18m_gap3
7231282K00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,145.3646634306226,required_18m_gap3
72312M79M00000,block_seasonal,Block historical month-of-year mean,100.88652482269502,required_18m_gap3
72321M76T00000,block_seasonal,Block historical month-of-year mean,71.69811320754717,required_18m_gap3
72321M79G00000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,103.73730730442773,required_18m_gap3
7232353R00000,block_hurdle_d2_sqrt_log,Block hurdle XGB depth2 sqrt-weight log-size,68.46017297041618,required_18m_gap3
72330M74L005PK,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,195.45854087918997,required_18m_gap3
72333M76M005PK,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,62.801432880488306,required_18m_gap3
72361M79M00000,block_recent6,Block recent 6-month mean,104.54545454545455,required_18m_gap3
72372M74L105PK,block_hurdle_d2_sqrt_log,Block hurdle XGB depth2 sqrt-weight log-size,70.06718836332622,required_18m_gap3
7239071L00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,81.63282023026393,required_18m_gap3
72390M76T00000,block_sba,Block SBA Croston,60.51282051282051,required_18m_gap3
7243179M00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,48.26784610748291,required_18m_gap3
72432M74T00000,block_seasonal,Block historical month-of-year mean,70.6896551724138,required_18m_gap3
7246073R00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,81.81299967843978,required_18m_gap3
7246079P00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,81.86997815414712,required_18m_gap3
72460M60M00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,62.54111698695591,required_18m_gap3
72520M68P02000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,61.811568226133076,required_18m_gap3
7252261M00000,block_recent6,Block recent 6-month mean,277.77777777777777,required_18m_gap3
72821M76MA0000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,97.83620640829012,required_18m_gap3
7283165D10000,block_recent6,Block recent 6-month mean,inf,required_18m_gap3
7283181A01000,block_seasonal,Block historical month-of-year mean,97.61904761904762,required_18m_gap3
7287078A33000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,121.2314477397336,required_18m_gap3
73111M62S515PK,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,69.5272802698369,required_18m_gap3
73310M68P61C8J,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,41.10101012440471,required_18m_gap3
73310M68P61GJL,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,94.16797498487077,required_18m_gap3
73410M74L105PK,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,116.19039624929428,required_18m_gap3
73412M53M10U3J,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,92.38288662125987,required_18m_gap3
7343061J00R8H,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,56.895622713812465,required_18m_gap3
7361052R005PK,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,1315.615780012948,required_18m_gap3
7361075H015PK,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
73610M68P00C48,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,51.20124078315237,required_18m_gap3
73630M76M01GJL,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,82.3283958115748,required_18m_gap3
73820M55R60PSG,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,280.4021006822586,required_18m_gap3
7382273R505PK,block_recent6,Block recent 6-month mean,112.0,required_18m_gap3
7382276J00ZCP,block_sba,Block SBA Croston,108.85952880226965,required_18m_gap3
73841M68P60C8J,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,46.15287631750107,required_18m_gap3
73841M68P60GJL,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,56.84700481227187,required_18m_gap3
73910M68P01000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,50.85623434611729,required_18m_gap3
74120M74LA0000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,79.71310768185592,required_18m_gap3
74120M79G00000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,178.49692392349243,required_18m_gap3
74461M74L00V6N,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,67.42910733446479,required_18m_gap3
74461M76M00000,block_seasonal,Block historical month-of-year mean,45.86206896551724,required_18m_gap3
75110M76T60R3F,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,128.26858446711586,required_18m_gap3
75430M76M00000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,53.00878114619498,required_18m_gap3
75463M75J00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,86.13996391112988,required_18m_gap3
75463M79G00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,45.23870214339225,required_18m_gap3
7552171L00000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,64.28657887687146,required_18m_gap3
7594165J00000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,51.35003484663416,required_18m_gap3
7615181A01P4Z,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,94.65670145370744,required_18m_gap3
7615181A01T01,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
76237M70F005PK,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,177.5212012706919,required_18m_gap3
76295M53M10P4Z,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,107.56886199764584,required_18m_gap3
7666179P005PK,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,53.140178373304465,required_18m_gap3
76661M75L005PK,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,81.77490722049366,required_18m_gap3
7672157L005PK,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,60.595958957485124,required_18m_gap3
77141M55T000CB,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,45.28992076714834,required_18m_gap3
77146M50S000CB,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,44.61249272028605,required_18m_gap3
77171M68L00000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,106.5512145820417,required_18m_gap3
77181M68K005PK,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,153.30688403202936,required_18m_gap3
77181M76M005PK,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,112.95173000066708,required_18m_gap3
77210M76T015PK,block_seasonal,Block historical month-of-year mean,85.61643835616438,required_18m_gap3
77220M74T005PK,block_tsb,Block TSB,76.37647058823529,required_18m_gap3
77221M55T00799,block_recent6,Block recent 6-month mean,69.54545454545455,required_18m_gap3
77230M75L000PG,block_hurdle_d2_sqrt_log,Block hurdle XGB depth2 sqrt-weight log-size,44.81936210318457,required_18m_gap3
7724054P105PK,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,137.06925822340924,required_18m_gap3
7724061M005PK,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,247.44771619637808,required_18m_gap3
77250M74T005PK,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,68.2813536736273,required_18m_gap3
77250M79M100PG,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,104.3758077280862,required_18m_gap3
7752061M005PK,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,45.55794331762526,required_18m_gap3
77540M74T005PK,block_seasonal,Block historical month-of-year mean,72.53521126760563,required_18m_gap3
7755078K000PG,block_hurdle_d2_sqrt_log,Block hurdle XGB depth2 sqrt-weight log-size,32.12844596968757,required_18m_gap3
7755365D00000,block_recent6,Block recent 6-month mean,inf,required_18m_gap3
7756178R005PK,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
7758064J10Z2S,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,50.415935480233394,required_18m_gap3
7781163J200PG,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,24.59324345444188,required_18m_gap3
77811M58J100PG,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,52.625851782541424,required_18m_gap3
7783179J000PG,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,127.26556304199943,required_18m_gap3
77831M79M000PG,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,89.66515927265088,required_18m_gap3
77831M80E50000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,109.8702735742744,required_18m_gap3
77831M80EC00PG,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,53.447230656941734,required_18m_gap3
7783278R000PG,block_recent6,Block recent 6-month mean,128.57142857142858,required_18m_gap3
77832M67P000PG,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,219.1117562353611,required_18m_gap3
7784161M00A93,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,82.04105993111928,required_18m_gap3
7813257L01000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,106.99274714400129,required_18m_gap3
7821565J105PK,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,97.50137562845268,required_18m_gap3
7821965J105PK,block_recent6,Block recent 6-month mean,147.05882352941177,required_18m_gap3
7822565J105PK,block_recent6,Block recent 6-month mean,154.54545454545453,required_18m_gap3
7877361M00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,287.7909609675407,required_18m_gap3
8143061A00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,765.2389913797379,required_18m_gap3
8181065J02000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,112.71875482052565,required_18m_gap3
8181086R00000,block_hurdle_d3_sqrt_log,Block hurdle XGB depth3 sqrt-weight log-size,79.39088957332005,required_18m_gap3
81810M55T01000,block_recent6,Block recent 6-month mean,58.0,required_18m_gap3
8183065J02000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,200.6079355875651,required_18m_gap3
8185080G00000,block_recent6,Block recent 6-month mean,133.33333333333334,required_18m_gap3
81850M67P00000,block_recent6,Block recent 6-month mean,110.8108108108108,required_18m_gap3
81850M74L00000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,81.58834467128831,required_18m_gap3
81850M79G10000,block_recent6,Block recent 6-month mean,283.3333333333333,required_18m_gap3
81850M79G20000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,46.13146978555267,required_18m_gap3
81860M67P00000,block_tsb,Block TSB,120.72034199862091,required_18m_gap3
81860M79G10000,block_recent6,Block recent 6-month mean,114.28571428571429,required_18m_gap3
8211065J01000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,35.65282184783727,required_18m_gap3
82110M55T10000,block_sba,Block SBA Croston,60.76353390917715,required_18m_gap3
82150M820005ES,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
82160M67P10000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,218.4995378057162,required_18m_gap3
8220061870000,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
82200M84880000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,111.52280153746301,required_18m_gap3
8228061810000,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
8228076872000,block_seasonal,Block historical month-of-year mean,96.03174603174602,required_18m_gap3
82280M79811000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,45.36861613556579,required_18m_gap3
82302M68P15000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,63.79428758569386,required_18m_gap3
82504M84500000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,125.72527180115382,required_18m_gap3
82510M53M00000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,190.98909172144803,required_18m_gap3
82510M60M51000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,83.42914002783158,required_18m_gap3
82570M53810000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,38.249260332526234,required_18m_gap3
82570M53M00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,99.39421125080274,required_18m_gap3
82651M74K00000,block_seasonal,Block historical month-of-year mean,79.24528301886792,required_18m_gap3
8276161A00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,170.52350789308548,required_18m_gap3
82811M75J00000,block_sba,Block SBA Croston,58.30524532026191,required_18m_gap3
8281257LA0ZNL,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,104.00803229388069,required_18m_gap3
82814M75J00000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,86.32527009436959,required_18m_gap3
82840M68P005PK,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
8285081A125PK,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
8285081A225PK,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,102.69786227080557,required_18m_gap3
8296060G00T01,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
82960M60G005ES,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,74.02917428149118,required_18m_gap3
82960M60G00P4Z,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,75.15671633291936,required_18m_gap3
82960M60G00V6N,block_recent6,Block recent 6-month mean,100.0,required_18m_gap3
8298265D00P4Z,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,147.6126910804154,required_18m_gap3
82982M65D00000,block_hurdle_d2_sqrt_log,Block hurdle XGB depth2 sqrt-weight log-size,61.02445010734661,required_18m_gap3
82982M65D005PK,block_tsb,Block TSB,64.73682941098686,required_18m_gap3
83101M53M10GCY,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,187.2677872578303,required_18m_gap3
8313063JC0C48,block_tsb,Block TSB,145.63608462222226,required_18m_gap3
83401M55R01000,block_hurdle_d2_full_log,Block hurdle XGB depth2 full-weight log-size,99.52311803187642,required_18m_gap3
83402M79G50000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,74.55005711979337,required_18m_gap3
8344060A00000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,360.90555526316166,required_18m_gap3
8366152R01000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,57.00787761632134,required_18m_gap3
83661M68P01000,block_direct_d2_tweedie,Block direct XGB depth2 Tweedie,50.885499355404875,required_18m_gap3
